t,y'',x'',x',x
0,-1.5,0,0,0
0.02,-0.7,0.7,0.006999999843537807,6.999999687075618E-05
0.04,0.9,-0.916247173645238,0.004837528155420437,0.00018837527421444492
0.06,1.7,-1.7059501475615966,-0.021384444470541133,2.2906114761761943E-05
0.08,0.9,-0.8629659361477835,-0.04707360473343744,-0.0006616743619764574
0.1,1.7,-1.6128146320794852,-0.07183140986233005,-0.0018507244813567906
0.12,2.3,-2.13173611004165,-0.10927691644656909,-0.0036618077039649163
0.14,3,-2.713339799649007,-0.1577276744605168,-0.0063318535533555985
0.16,3.3,-2.8480391106701077,-0.21334146232064288,-0.01004254483822678
0.18,3,-2.3370928270925733,-0.2651927805393024,-0.014827887159865494
0.2,2.7,-1.7933757477615107,-0.3064974653646116,-0.020544789491121908
0.22,2,-0.8256552368331964,-0.33268777462515964,-0.026936641748150584
0.24,-0.2,1.647707202681803,-0.3244672551504165,-0.033508191899020746
0.26,-2.6,4.276600655600394,-0.26522417789178054,-0.03940510609763641
0.28,-4,5.818656565775182,-0.1642716079344906,-0.04370006385989934
0.3,-5.6,7.457904822219469,-0.03150599702208681,-0.04565783986570541
0.32,-6.1,7.867924893646989,0.12175229671098789,-0.04475537688898802
0.34,-6,7.551559752883827,0.27594713972977264,-0.04077838261347316
0.36,-6.1,7.3192437917631255,0.42465517185235857,-0.03377235965424867
0.38,-5.8,6.573983784460211,0.5635874445092136,-0.023889933711522388
0.4,-5.5,5.731325779576133,0.686640537399126,-0.011387654171886722
0.42,-5.2,4.805208950489996,0.7920058823446883,0.00339880969504819
0.44,-4.8,3.710775207009407,0.8771657220162115,0.020090525365568258
0.46,-4.6,2.7664438715830295,0.9419379113543646,0.038281561292672676
0.48,-4.1,1.4858812729256896,0.984461161848983,0.057545551594122404
0.5,-3.1,-0.30831050375257973,0.9962368692775065,0.0773525314626668
0.52,-2.6,-1.584143036549524,0.9773123342974819,0.09708802305729405
0.54,-4.1,-0.8255318228790176,0.9532155862418008,0.11639330183118027
0.56,-5.4,-0.2597039676493358,0.9423632285790864,0.13534908955569425
0.58,-5.6,-0.7940726820721684,0.9318254623174088,0.1540909760457454
0.6,-3.9,-3.211968894303495,0.8917650474490723,0.17232688073580596
0.62,-1.3,-6.461301678558948,0.7950323438825923,0.189194854272094
0.64,0.4,-8.684883722409921,0.6435704932583398,0.20358088232195054
