t [s],v [É m/sec]
0.01,-8.335
0.02,-5.594
0.03,-3.076
0.04,-1.177
0.05,0.248
0.06,1.7
0.07,2.821
0.08,3.803
0.09,4.107
0.1,4.581
0.11,4.49
0.12,4.071
0.13,3.566
0.14,3.095
0.15,2.326
0.16,1.993
0.17,1.977
0.18,2.545
0.19,3.194
0.2,4.208
0.21,4.985
0.22,5.234
0.23,5.096
0.24,4.963
0.25,5.017
0.26,5.478
0.27,6.209
0.28,7.107
0.29,8.252
0.3,9.307
0.31,9.791
0.32,10.063
0.33,10.305
0.34,10.507
0.35,9.835
0.36,8.998
0.37,8.072
0.38,6.552
0.39,4.852
0.4,3.616
0.41,2.506
0.42,1.69
0.43,0.367
0.44,-1.274
0.45,-3.426
0.46,-5.881
0.47,-7.996
0.48,-10.429
0.49,-12.698
0.5,-14.232
0.51,-14.695
0.52,-14.631
0.53,-13.879
0.54,-12.289
0.55,-9.948
0.56,-7.077
0.57,-3.648
0.58,0.149
0.59,4.259
0.6,8.523
0.61,12.285
0.62,15.654
0.63,18.492
0.64,20.962
0.65,23.067
0.66,24.221
0.67,24.229
0.68,23.886
0.69,23.282
0.7,22.042
0.71,20.235
0.72,17.35
0.73,13.243
0.74,8.623
0.75,3.753
0.76,-1.152
0.77,-5.79
0.78,-10.818
0.79,-15.813
0.8,-20.036
0.81,-22.791
0.82,-24.273
0.83,-24.435
0.84,-23.691
0.85,-22.156
0.86,-20.029
0.87,-17.458
0.88,-14.462
0.89,-10.463
0.9,-6.454
0.91,-1.379
0.92,4.078
0.93,9.502
0.94,14.622
0.95,19.249
0.96,23.031
0.97,25.605
0.98,27.05
0.99,27.004
1,26.08
1.01,24.604
1.02,22.149
1.03,18.601
1.04,14.518
1.05,10.066
1.06,5.237
1.07,-0.406
1.08,-5.796
1.09,-10.235
1.1,-14.318
1.11,-17.668
1.12,-20.629
1.13,-22.016
1.14,-22.587
1.15,-22.751
1.16,-22.854
1.17,-21.854
1.18,-19.259
1.19,-16.067
1.2,-12.74
1.21,-9.604
1.22,-5.33
1.23,-0.293
1.24,4.561
1.25,8.649
1.26,11.926
1.27,14.484
1.28,15.754
1.29,16.5
1.3,16.832
1.31,15.566
1.32,12.849
1.33,9.192
1.34,4.908
1.35,0.107
1.36,-4.46
1.37,-9.015
1.38,-13.235
1.39,-17.255
1.4,-20.323
1.41,-22.206
1.42,-22.483
1.43,-21.805
1.44,-19.965
1.45,-17.736
1.46,-14.496
1.47,-10.001
1.48,-4.873
