t,ytt,xt,x,f,xtt,xtt+ytt,h,K,
0,-1.5,0,0,0,0,0,0,0,
0.02,-0.7,0.006972474205858907,6.972474205858908E-05,0.00013944948411717816,0.6972474205858907,-0.002752579414109224,0.03,2,
0.04,0.9,0.004844484104031764,0.00018789432515749582,0.00037578865031499164,-0.910046430768605,-0.010046430768605008,0.03,2,
0.06,1.7,-0.021283522950411672,2.350393669369675E-05,4.70078733873935E-05,-1.7027542746757383,-0.0027542746757382996,0.03,2,
0.08,0.9,-0.046970650495082165,-0.0006590377977612416,-0.001318075595522483,-0.8659584797913112,0.03404152020868878,0.03,2,
0.1,1.7,-0.0717243936256992,-0.0018459882389690553,-0.0036919764779381106,-1.6094158332703923,0.09058416672960767,0.03,2,
0.12,2.3,-0.10910550292241863,-0.0036542872044502336,-0.007308574408900467,-2.1286950964015525,0.1713049035984473,0.03,2,
0.14,3,-0.157486020278078,-0.0063202024364552,-0.0126404048729104,-2.7093566391643846,0.29064336083561537,0.03,2,
0.16,3.3,-0.2130280316857212,-0.010025342956093192,-0.020050685912186384,-2.844844501599936,0.45515549840006386,0.03,2,
0.18,3,-0.26482902881029424,-0.014803913561053345,-0.02960782712210669,-2.335255210857366,0.6647447891426341,0.03,2,
0.2,2.7,-0.30608496972217736,-0.02051305354637806,-0.04102610709275612,-1.7903388803309448,0.9096611196690554,0.03,2,
0.22,2,-0.33221630341284664,-0.026896066277728302,-0.053792132555456604,-0.8227944887359837,1.1772055112640163,0.03,2,
0.24,-0.2,-0.32398310801340324,-0.0334580603919908,-0.0669161207839816,1.6461140286803209,1.446114028680321,0.03,2,
0.26,-2.6,-0.26476757123808925,-0.03934556718450573,-0.07869113436901146,4.2754396488510755,1.6754396488510754,0.03,2,
0.28,-4,-0.16379013822193494,-0.04363114427910597,-0.08726228855821194,5.822303652764354,1.8223036527643544,0.03,2,
0.3,-5.6,-0.030955914464462914,-0.04557860480596995,-0.0911572096119399,7.461118722982848,1.861118722982848,0.03,2,
0.32,-6.1,0.12240466083283774,-0.04466411734228621,-0.08932823468457242,7.874938806747219,1.774938806747219,0.03,2,
0.34,-6,0.27674948336995264,-0.04067257590025831,-0.08134515180051662,7.559543446964268,1.559543446964268,0.03,2,
0.36,-6.1,0.4255857776127603,-0.03364922329043118,-0.06729844658086236,7.3240859773165,1.2240859773165003,0.03,2,
0.38,-5.8,0.5645973110847555,-0.023747392403456018,-0.047494784806912035,6.577067369883024,0.7770673698830244,0.03,2,
0.4,-5.5,0.6876708407808081,-0.011224710884800381,-0.022449421769600762,5.730285599722232,0.23028559972223217,0.03,2,
0.42,-5.2,0.7929672515541675,0.003581670038549375,0.007163340077098748,4.799355477613705,-0.4006445223862949,0.03,2,
0.44,-4.8,0.8779608431747066,0.020290950985838115,0.04058190197167623,3.7000036844402002,-1.0999963155597996,0.03,2,
0.46,-4.6,0.9424537897544967,0.03849509731513015,0.0769901946302603,2.749290973538808,-1.8507090264611916,0.03,2,
0.48,-4.1,0.9845888170607842,0.05776552338328295,0.1155310467665659,1.4642117570899402,-2.6357882429100594,0.03,2,
0.5,-3.1,0.9958955676154889,0.07757036723004568,0.15514073446009136,-0.33353670161946347,-3.4335367016194636,0.03,2,
0.52,-2.6,0.9763959137817497,0.09729328204401806,0.19458656408803612,-1.6164286817544506,-4.216428681754451,0.03,2,
0.54,-4.1,0.9515297080821599,0.11657253826265715,0.2331450765253143,-0.8701918882045367,-4.970191888204536,0.03,2,
0.56,-5.4,0.9397531282297019,0.13548536662577576,0.2709707332515515,-0.3074660970412575,-5.707466097041258,0.03,2,
0.58,-5.6,0.9282735286265643,0.15416563319433843,0.30833126638867686,-0.8404938632725063,-6.440493863272506,0.03,2,
0.6,-3.9,0.8873391756165093,0.17232176023676918,0.34464352047353836,-3.252941437732995,-7.152941437732995,0.03,2,
0.62,-1.3,0.7898135317250919,0.1890932873101852,0.3781865746203704,-6.49962295140874,-7.79962295140874,0.03,2,
0.64,0.4,0.6375537163133349,0.20336695979056948,0.40673391958113897,-8.726358589766964,-8.326358589766963,0.03,2,
0.66,1.6,0.44731765041788263,0.21421567345788167,0.42843134691576334,-10.297247999778264,-8.697247999778265,0.03,2,
0.68,2.4,0.23141035309353097,0.2210029534929958,0.4420059069859916,-11.2934817326569,-8.8934817326569,0.03,2,
0.7,2.5,0.004423635054795039,0.22336129337447908,0.44672258674895815,-11.405190071216696,-8.905190071216696,0.03,2,
0.72,3.4,-0.23093023476799887,0.22109622737734705,0.4421924547546941,-12.130196911062693,-8.730196911062693,0.03,2,
0.74,5.2,-0.4878094397352112,0.21390883063231494,0.4278176612646299,-13.557723585658533,-8.357723585658533,0.03,2,
0.76,6.3,-0.764053342921427,0.20139020280574857,0.40278040561149714,-14.06666673296305,-7.76666673296305,0.03,2,
0.78,5.6,-1.0302615899285037,0.18344705347724927,0.36689410695449853,-12.554157967744608,-6.954157967744608,0.03,2,
0.8,3.7,-1.2523298571408965,0.16062113900655525,0.3212422780131105,-9.652668753494675,-5.952668753494675,0.03,2,
0.82,1.5,-1.412027592693227,0.13397756450821402,0.26795512901642804,-6.317104801738385,-4.817104801738385,0.03,2,
0.84,-1.2,-1.4992742829720853,0.1048645457515609,0.2097290915031218,-2.4075642261474313,-3.6075642261474314,0.03,2,
0.86,-2.6,-1.5211724104234896,0.07466007881760515,0.1493201576352103,0.21775148100699404,-2.382248518993006,0.03,2,
0.88,-2.9,-1.501800608377554,0.044430348629594725,0.08886069725918945,1.7194287235865815,-1.1805712764134184,0.03,2,
0.9,-2.4,-1.4607892285203778,0.014804450260615408,0.029608900521230816,2.3817092621310274,-0.018290737868972506,0.03,2,
0.92,-1.3,-1.412964530827098,-0.013933087332859348,-0.027866174665718696,2.400760507196968,1.100760507196968,0.03,2,
0.94,0.3,-1.3701423473283316,-0.04176415611441365,-0.0835283122288273,1.881457842679657,2.181457842679657,0.03,2,
0.96,1.5,-1.3339991035284342,-0.0688055706229813,-0.1376111412459626,1.7328665373100853,3.2328665373100853,0.03,2,
0.98,1.5,-1.2891223604201403,-0.09503678526246705,-0.1900735705249341,2.754807773519312,4.254807773519312,0.03,2,
1,2.1,-1.2302493060086928,-0.12023050192675538,-0.24046100385351077,3.1324976676254477,5.232497667625448,0.03,2,
1.02,2.9,-1.1663598652295468,-0.14419659363913778,-0.28839318727827556,3.256446410289152,6.156446410289152,0.03,2,
1.04,1.3,-1.0766168758511023,-0.16662636104994427,-0.33325272209988854,5.717852527555307,7.0178525275553065,0.03,2,
1.06,-0.8,-0.9336618857082747,-0.18672914866553805,-0.3734582973310761,8.57764648672746,7.77764648672746,0.03,2,
1.08,-1.7,-0.7470128465303094,-0.20353589598792388,-0.40707179197584775,10.087257431069068,8.387257431069068,0.03,2,
1.1,-0.9,-0.548855466321899,-0.21649457911644596,-0.4329891582328919,9.728480589771976,8.828480589771976,0.03,2,
1.12,-0.5,-0.3554627847451517,-0.22553776162711645,-0.4510755232542329,9.61078756790275,9.11078756790275,0.03,2,
1.14,0.2,-0.1689059819820447,-0.2307814492943884,-0.4615628985887768,9.044892708407948,9.244892708407948,0.03,2,
1.16,0.7,0.006928032957060487,-0.23240122878463823,-0.46480245756927646,8.53850878550257,9.23850878550257,0.03,2,
1.18,0.3,0.18029619887988488,-0.23052898646626876,-0.46105797293253753,8.798307806779869,9.09830780677987,0.03,2,
