t,ytt,w,x,xt,f,K,xtt,xtt+ytt,
0,-1.5,0,0,0,0,0,0,0,
0.02,-0.7,6.283185307179586,0.0002456630832352303,0.02183914732701151,0.0004913261664704606,2,0.682068445633681,-0.01793155436631899,
0.04,0.9,6.283185307179586,0.0007108102127037151,0.019282820237780787,0.0014216204254074302,2,-0.9353311143825,-0.03533111438250003,
0.06,1.7,6.283185307179586,0.0008559116951145285,-0.00742555745332202,0.001711823390229057,2,-1.730990670122885,-0.030990670122885033,
0.08,0.9,6.283185307179586,0.00041610562054343245,-0.03379663612444418,0.0008322112410868649,2,-0.9036861598035818,-0.003686159803581779,
0.1,1.7,6.283185307179586,-0.0004912906768119585,-0.05945865516089627,-0.000982581353623917,2,-1.6581892365861939,0.041810763413806074,
0.12,2.3,6.283185307179586,-0.002047606624175185,-0.09792024988263251,-0.00409521324835037,2,-2.182248666081089,0.1177513339189109,
0.14,3,6.283185307179586,-0.004482195725021284,-0.14748981882396667,-0.008964391450042568,2,-2.7674476536275443,0.2325523463724557,
0.16,3.3,6.283185307179586,-0.007995571174099792,-0.20431408044187235,-0.015991142348199584,2,-2.9073229085065893,0.39267709149341057,
0.18,3,6.283185307179586,-0.01263042369787373,-0.25749396449740913,-0.02526084739574746,2,-2.4042979210703157,0.5957020789296843,
0.2,2.7,6.283185307179586,-0.01822586139573278,-0.3002592509960339,-0.03645172279146556,2,-1.867276761767943,0.8327232382320571,
0.22,2,6.283185307179586,-0.02454077031075979,-0.32803155028762193,-0.04908154062151958,2,-0.9075042403156968,1.0924957596843032,
0.24,-0.2,6.283185307179586,-0.03111871291062037,-0.32156972733729267,-0.06223742582124074,2,1.5497464747579457,1.3497464747579457,
0.26,-2.6,6.283185307179586,-0.03706488765666801,-0.2643349192317775,-0.07412977531333602,2,4.162915030210029,1.562915030210029,
0.28,-4,6.283185307179586,-0.04141522228991734,-0.16558218348624149,-0.08283044457983468,2,5.697430453283337,1.6974304532833369,
0.3,-5.6,6.283185307179586,-0.04347665796265237,-0.035119336719050445,-0.08695331592530474,2,7.3296293371196635,1.7296293371196638,
0.32,-6.1,6.283185307179586,-0.04268363040498679,0.11579506643105156,-0.08536726080997357,2,7.741428474395509,1.641428474395509,
0.34,-6,6.283185307179586,-0.03883808539235961,0.26772880191632936,-0.07767617078471922,2,7.432334773602699,1.4323347736026992,
0.36,-6.1,6.283185307179586,-0.03201012665405524,0.4143174280767905,-0.06402025330811048,2,7.207515157021133,1.1075151570211332,
0.38,-5.8,6.283185307179586,-0.022329478561881506,0.5513006337025175,-0.04465895712376301,2,6.473697037062397,0.6736970370623974,
0.4,-5.5,6.283185307179586,-0.010062560626839894,0.6726236731004384,-0.02012512125367979,2,5.6436808197904,0.14368081979039982,
0.42,-5.2,6.283185307179586,0.004459079816977583,0.7764980353338962,0.008918159633955168,2,4.731229722054372,-0.4687702779456284,
0.44,-4.8,6.283185307179586,0.020864312366980692,0.8604266049261614,0.041728624733961384,2,3.651936775229868,-1.148063224770132,
0.46,-4.6,6.283185307179586,0.03874197397600579,0.9242392597599582,0.07748394795201158,2,2.722098180323557,-1.8779018196764428,
0.48,-4.1,6.283185307179586,0.057687334720653294,0.9660833367569024,0.11537466944130659,2,1.458390471794381,-2.6416095282056187,
0.5,-3.1,6.283185307179586,0.07718235983825776,0.9775044919177647,0.15436471967651552,2,-0.31554794506370953,-3.4155479450637096,
0.52,-2.6,6.283185307179586,0.09658502038008705,0.9585643141931417,0.1931700407601741,2,-1.5743940017859517,-4.174394001785952,
0.54,-4.1,6.283185307179586,0.11549204159601181,0.9346804312675326,0.23098408319202363,2,-0.8118092692660799,-4.9118092692660795,
0.56,-5.4,6.283185307179586,0.1340612756096756,0.9241464303064819,0.2681225512193512,2,-0.24092201944667924,-5.64092201944668,
0.58,-5.6,6.283185307179586,0.1524609863452258,0.9140821984585275,0.3049219726904516,2,-0.7635193576436032,-6.363519357643603,
0.6,-3.9,6.283185307179586,0.170429492027889,0.8747844446354722,0.340858984055778,2,-3.15807262454448,-7.058072624544479,
0.62,-1.3,6.283185307179586,0.18707718453606315,0.7792446646054264,0.3741543690721263,2,-6.379279533002954,-7.679279533002954,
0.64,0.4,6.283185307179586,0.20123715638411369,0.6294088886735426,0.40247431276822737,2,-8.581806058136735,-8.181806058136734,
0.66,1.6,6.283185307179586,0.21200270040652602,0.44196307893250936,0.42400540081305205,2,-10.136147295332188,-8.536147295332189,
0.68,2.4,6.283185307179586,0.21874608334950302,0.22908787021275284,0.43749216669900604,2,-11.122113320199688,-8.722113320199687,
0.7,2.5,6.283185307179586,0.22109323964413324,0.005266793779287727,0.4421864792882665,2,-11.230396778648764,-8.730396778648764,
0.72,3.4,6.283185307179586,0.21890095949826416,-0.2269151054290459,0.4378019189965283,2,-11.956318513682472,-8.556318513682472,
0.74,5.2,6.283185307179586,0.2118727607075606,-0.48066219552463857,0.4237455214151212,2,-13.383195947522946,-8.183195947522947,
0.76,6.3,6.283185307179586,0.19954519786797492,-0.7537956391355646,0.39909039573594984,2,-13.89355439131009,-7.59355439131009,
0.78,5.6,6.283185307179586,0.18178730282560607,-1.0169915456625302,0.36357460565121213,2,-12.393278275885102,-6.793278275885102,
0.8,3.7,6.283185307179586,0.15915800225538396,-1.2363490410494073,0.3183160045107679,2,-9.517213470357278,-5.817213470357278,
0.82,1.5,6.283185307179586,0.13274602982255937,-1.3938383460646235,0.26549205964511874,2,-6.2151385236608805,-4.7151385236608805,
0.84,-1.2,6.283185307179586,0.10388367572816867,-1.4794878853838869,0.20776735145633735,2,-2.343409340056639,-3.5434093400566393,
0.86,-2.6,6.283185307179586,0.07399777986556356,-1.500473566713008,0.14799555973112713,2,0.2443499527629207,-2.3556500472370794,
0.88,-2.9,6.283185307179586,0.044135709386396695,-1.480827198320025,0.08827141877279339,2,1.7158507352766506,-1.1841492647233494,
0.9,-2.4,6.283185307179586,0.014905519904484275,-1.4400625592011216,0.02981103980896855,2,2.354444455404223,-0.04555554459577671,
0.92,-1.3,6.283185307179586,-0.013424179176487519,-1.3929052512678217,-0.026848358352975034,2,2.355078260068649,1.055078260068649,
0.94,0.3,6.283185307179586,-0.04084632581016332,-1.3510871658252015,-0.08169265162032663,1.9999999999999998,1.8218961696791796,2.1218961696791796,
0.96,1.5,6.283185307179586,-0.06751393967645028,-1.316208884589827,-0.13502787935290056,2,1.6615425641523425,3.1615425641523425,
0.98,1.5,6.283185307179586,-0.09343798070507867,-1.2728373871344423,-0.18687596141015733,2,2.6686320125393066,4.168632012539307,
1,2.1,6.283185307179586,-0.11833611339252118,-1.2157708334572066,-0.23667222678504235,2,3.0300573084470934,5.1300573084470935,
1.02,2.9,6.283185307179586,-0.14203719965023792,-1.1539631131010377,-0.28407439930047584,2,3.1424377277814033,6.042437727781403,
1.04,1.3,6.283185307179586,-0.16432341312052962,-1.0664999511643587,-0.32864682624105923,2,5.589289334741434,6.8892893347414335,
1.06,-0.8,6.283185307179586,-0.18434420958039993,-0.926119036665408,-0.36868841916079986,2,8.42675634019274,7.626756340192741,
1.08,-1.7,6.283185307179586,-0.20107921816023575,-0.7424091956679151,-0.4021584363204715,2,9.918171019095618,8.21817101909562,
1.1,-0.9,6.283185307179586,-0.21396556146271264,-0.5474414136881862,-0.4279311229254253,2,9.55340233919741,8.65340233919741,
1.12,-0.5,6.283185307179586,-0.22300886400493114,-0.35727126103874934,-0.4460177280098623,2,9.438725154942198,8.938725154942198,
1.14,0.2,6.283185307179586,-0.22830154136758046,-0.17386434663872033,-0.4566030827351609,2,8.878528904322392,9.078528904322392,
1.16,0.7,6.283185307179586,-0.2300340223613095,-0.001040102989495844,-0.460068044722619,2,8.381771307579164,9.081771307579164,
1.18,0.3,6.283185307179586,-0.22835822347868842,0.16951864709910378,-0.45671644695737684,2,8.651314285516078,8.951314285516078,
1.2,-0.3,6.283185307179586,-0.22321320306686168,0.34608468751795696,-0.44642640613372336,2,8.981633192060643,8.681633192060643,
1.22,-1,6.283185307179586,-0.21447367080196744,0.5288223507268578,-0.4289473416039349,2,9.267719811607842,8.267719811607842,
1.24,-1.3,6.283185307179586,-0.20205857524064189,0.7118231915163602,-0.40411715048128377,2,9.00860179279682,7.708601792796821,
1.26,-2.2,6.283185307179586,-0.18600480235009414,0.894212420946251,-0.3720096047001883,2,9.206065122905763,7.006065122905762,
