t,ytt,x,xt,xtt,xtt_ytt,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.00029885404814703094,0.029808588610932496,-31.03467955857829,-31.73467955857829,1.4956750435792725,
0.04,0.9,0.0010283365971273997,0.04302702553735987,-30.257807050858382,-29.357807050858383,1.4965942424763068,
0.06,1.7,0.001695985698394722,0.023674334534385243,-28.667117547449816,-26.967117547449817,1.4974355269160082,
0.08,0.9,0.001814410294688627,-0.011802857653061567,-27.85668851001925,-26.95668851001925,1.497584750168089,
0.1,1.7,0.0013862755605844974,-0.030930211925588917,-28.632575585515536,-26.932575585515536,1.4967284806998808,
0.12,2.3,0.0004220132147018504,-0.06532585197586377,-27.78154118313293,-25.48154118313293,1.4947999560081155,
0.14,3,-0.001337729978691859,-0.11036021209265069,-27.095091752679465,-24.095091752679465,1.4912804696213282,
0.16,3.3,-0.004118037569556917,-0.16723307108141766,-26.263889045820203,-22.963889045820203,1.4857198544395982,
0.18,3,-0.008066447167127372,-0.22701300132055963,-25.785475580093696,-22.785475580093696,1.4778230352444572,
0.2,2.7,-0.013111999879264188,-0.2768155110030608,-25.86751003925329,-23.16751003925329,1.4677319298201836,
0.22,2,-0.019047790884747364,-0.3159330834053668,-25.9184274257564,-23.9184274257564,1.4558603478092174,
0.24,-0.2,-0.025574788314240027,-0.3358824335090575,-26.35323116772476,-26.55323116772476,1.442806352950232,
0.26,-2.6,-0.03200856953643736,-0.30668552413456285,-28.310242641379595,-30.910242641379597,1.4299387905058374,
0.28,-4,-0.037333366785467136,-0.22519575860687807,-30.53074898977081,-34.530748989770814,1.4192891960077778,
0.3,-5.6,-0.04071795467510799,-0.11295863507719703,-31.83944321437382,-37.43944321437382,1.412520020228496,
0.32,-6.1,-0.04152672319711586,0.032005976794220396,-33.46216468407902,-39.56216468407902,1.4109024831844803,
0.34,-6,-0.03934871866316012,0.18531503237821204,-34.074388103312096,-40.074388103312096,1.4136598007369896,
0.36,-6.1,-0.03416115116561754,0.3325737337400221,-34.15953809764945,-40.259538097649454,1.4202271749976032,
0.38,-5.8,-0.026068080298918498,0.47548838183883957,-34.515657529083214,-40.31565752908321,1.430472868248719,
0.4,-5.5,-0.015258380511364054,0.603897276055033,-34.53419564674583,-40.03419564674583,1.4441577685769316,
0.42,-5.2,-0.0020416835442852305,0.7158919061794987,-34.606695413625914,-39.80669541362592,1.4608898873422373,
0.44,-4.8,0.013236887612867074,0.8098359870277491,-34.723915510215406,-39.5239155102154,1.4802323045741994,
0.46,-4.6,0.030182484039062738,0.8824018825448992,-34.77473436606674,-39.37473436606674,1.5016851480991966,
0.48,-4.1,0.048397005226808995,0.9365845487629015,-35.050332716240874,-39.150332716240875,1.5247444292891708,
0.5,-3.1,0.06744538086288188,0.9657090732878291,-35.03732198394188,-38.13732198394188,1.54885935635626,
0.52,-2.6,0.0867234690049372,0.9595698994439383,-34.51675755360684,-37.11675755360684,1.5732650956392569,
0.54,-4.1,0.10562830680824375,0.9284645599771687,-34.47745375735724,-38.57745375735724,1.5971983061949409,
0.56,-5.4,0.12406516470606192,0.912814077381946,-36.43228171618031,-41.83228171618031,1.6205390619657483,
0.58,-5.6,0.14230500137916174,0.9087737738094736,-38.186563145438726,-43.78656314543873,1.6436303921395639,
0.6,-3.9,0.16036092890072348,0.894460286501813,-38.83237587602014,-42.732375876020136,1.6664888963831772,
0.62,-1.3,0.17765169261301533,0.8324181199782683,-37.54107424949071,-38.84107424949071,1.6883787159574282,
0.64,0.4,0.19305551545844193,0.7060953962197912,-35.278385695422244,-34.878385695422246,1.7078796997456926,
0.66,1.6,0.20548914318567046,0.5358448031174737,-33.82491300303101,-32.224913003031006,1.7236204658640193,
0.68,2.4,0.2142026040923724,0.33460735662755003,-32.76679339475803,-30.366793394758034,1.7346515625980174,
0.7,2.5,0.21868907074012256,0.11372647094855119,-31.99563786747688,-29.49563786747688,1.7403313548315629,
0.72,3.4,0.218730893741331,-0.10926930388097923,-31.81261557724126,-28.41261557724126,1.7403843020562049,
0.74,5.2,0.21416161581128199,-0.3467584439547301,-30.64269641843684,-25.442696418436842,1.7312457461961068,
0.76,6.3,0.2045501754013593,-0.6127859745603084,-28.362961943858146,-22.062961943858145,1.7120228653762615,
0.78,5.6,0.18950857088506257,-0.8890472193494703,-26.564995163672044,-20.964995163672043,1.681939656343668,
0.8,3.7,0.16923476981830457,-1.1353545804589984,-26.37176189118849,-22.671761891188492,1.6413920542101519,
0.82,1.5,0.14460426473396445,-1.3242163776105356,-27.22818930552566,-25.72818930552566,1.5921310440414715,
0.84,-1.2,0.11685267498756412,-1.4471351306766262,-28.28626117813796,-29.48626117813796,1.5366278645486708,
0.86,-2.6,0.0874146136078086,-1.4927387600812487,-29.806900934271518,-32.40690093427152,1.47775174178916,
0.88,-2.9,0.05758077521127734,-1.4867256341514001,-30.0313750983819,-32.9313750983819,1.4180840649960973,
0.9,-2.4,0.028160861572798103,-1.4514375761856293,-29.183226746317654,-31.583226746317653,1.359244237719139,
0.92,-1.3,-0.0004260089310124019,-1.40354681887083,-27.57271672472914,-28.87271672472914,1.302070496711518,
0.94,0.3,-0.028055484452724478,-1.3558238881492273,-25.399939872921152,-25.09993987292115,1.246811545668094,
0.96,1.5,-0.0548380485368205,-1.3189535085371398,-22.756506429140668,-21.256506429140668,1.1932464174999018,
0.98,1.5,-0.08091633432635582,-1.285484485797175,-20.539594496651137,-19.039594496651137,1.1410898459208312,
1,2.1,-0.10612439119861224,-1.2320702414685436,-19.564556996163397,-17.464556996163395,1.0906737321763185,
1.02,2.9,-0.13019224630859344,-1.1716232357448613,-18.03718414558395,-15.13718414558395,1.042538021956356,
