t,ytt,x,xt,xtt,xtt_ytt,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.00029885404814703094,0.029808588610932496,-30.120202323379623,-30.820202323379622,1.4493470856371218,
0.04,0.9,0.0010283365971273997,0.04302702553735987,-29.343453784757674,-28.443453784757676,1.4502725648820263,
0.06,1.7,0.001695985698394722,0.023674334534385243,-27.752877742400308,-26.05287774240031,1.45111959732573,
0.08,0.9,0.001814410294688627,-0.011802857653061567,-26.94246883018096,-26.04246883018096,1.4512698401329218,
0.1,1.7,0.0013862755605844974,-0.030930211925588917,-27.71835590567725,-26.01835590567725,1.4504135706647137,
0.12,2.3,0.0004220132147018504,-0.06532585197586377,-26.867321503294644,-24.567321503294643,1.4484850459729484,
0.14,3,-0.001337729978691859,-0.11036021209265069,-26.18087207284118,-23.18087207284118,1.444965559586161,
0.16,3.3,-0.004118037569556917,-0.16723307108141766,-25.349669365981914,-22.049669365981913,1.439404944404431,
0.18,3,-0.008066447167127372,-0.22701300132055963,-24.871255900255406,-21.871255900255406,1.43150812520929,
0.2,2.7,-0.013111999879264188,-0.2768155110030608,-24.953290359415007,-22.253290359415008,1.4214170197850164,
0.22,2,-0.019047790884747364,-0.3159330834053668,-25.004207745918112,-23.004207745918112,1.4095454377740502,
0.24,-0.2,-0.025574788314240027,-0.3358824335090575,-25.439011487886475,-25.639011487886474,1.3964914429150648,
0.26,-2.6,-0.03200856953643736,-0.30668552413456285,-27.39602296154131,-29.99602296154131,1.3836238804706702,
0.28,-4,-0.037333366785467136,-0.22519575860687807,-29.61652930993252,-33.61652930993252,1.3729742859726106,
0.3,-5.6,-0.04071795467510799,-0.11295863507719703,-30.925223534535537,-36.525223534535534,1.366205110193329,
0.32,-6.1,-0.041526723197115895,0.03200597679421861,-32.54794500424074,-38.64794500424074,1.3645875731493131,
0.34,-6,-0.039348718663160115,0.1853150323782136,-33.1917253291066,-39.1917253291066,1.3689435822172247,
0.36,-6.1,-0.03416115116561751,0.3325737337400236,-33.35203750765044,-39.45203750765044,1.3793187172123098,
0.38,-5.8,-0.026068080298918436,0.47548838183884107,-33.82541669205455,-39.62541669205455,1.395504858945708,
0.4,-5.5,-0.015258380511363934,0.6038972760550344,-34.00057554709238,-39.50057554709238,1.417124258520817,
0.42,-5.2,-0.002041683544285045,0.7158919061795013,-34.26457081017783,-39.46457081017783,1.4435576524549747,
0.44,-4.8,0.013236887612867308,0.8098359870277515,-34.4321024820124,-39.232102482012394,1.4654488838643076,
0.46,-4.6,0.03018248403906302,0.8824018825449015,-34.483842492656564,-39.083842492656565,1.4869483936362686,
0.48,-4.1,0.048397005226809314,0.9365845487629036,-34.76043097578732,-38.860430975787324,1.510057835547807,
0.5,-3.1,0.06744538086288224,0.9657090732878308,-34.748455704387524,-37.848455704387526,1.5342252196768573,
0.52,-2.6,0.08672346900493759,0.9595698994439398,-34.22893922201738,-36.82893922201738,1.5586840486239535,
0.54,-4.1,0.10562830680824416,0.9284645599771698,-34.190663084016705,-38.29066308401671,1.5826693209547176,
0.56,-5.4,0.12406516470606235,0.9128140773819468,-36.14649326191724,-41.54649326191724,1.6060608497371238,
0.58,-5.6,0.1423050013791622,0.908773773809474,-37.901766200270366,-43.50176620027037,1.6292024103484737,
0.6,-3.9,0.16036092890072393,0.894460286501813,-38.54856044272998,-42.44856044272998,1.6521106385647162,
0.62,-1.3,0.17765169261301578,0.8324181199782679,-37.25819873412759,-38.558198734127586,1.6740480749374143,
0.64,0.4,0.19305551545844235,0.7060953962197904,-34.9963475247524,-34.5963475247524,1.6935914791033988,
0.66,1.6,0.20548914318567085,0.5358448031174726,-33.54355071862006,-31.94355071862006,1.709366486019605,
0.68,2.4,0.2142026040923728,0.33460735662754865,-32.485904770056344,-30.085904770056345,1.7204215786347956,
0.7,2.5,0.21868907074012292,0.1137264709485495,-31.71499312502941,-29.21499312502941,1.7261137260876744,
0.72,3.4,0.21873089374133134,-0.1092693038809812,-31.531973108272812,-28.131973108272813,1.7261667884881093,
0.74,5.2,0.21416161581128224,-0.34675844395473227,-30.36205394946839,-25.16205394946839,1.717028232628011,
0.76,6.3,0.20455017540135945,-0.6127859745603128,-28.08231947488969,-21.78231947488969,1.6978053518081655,
0.78,5.6,0.18950857088506262,-0.8890472193494747,-26.284352694703585,-20.684352694703584,1.6677221427755717,
0.8,3.7,0.16923476981830457,-1.1353545804590042,-26.091119422220032,-22.391119422220033,1.6271745406420557,
0.82,1.5,0.14460426473396437,-1.3242163776105407,-26.947546836557198,-25.447546836557198,1.5779135304733753,
0.84,-1.2,0.11685267498756396,-1.4471351306766307,-28.005618709169497,-29.205618709169496,1.5224103509805746,
0.86,-2.6,0.08741461360780835,-1.4927387600812527,-29.526258465303048,-32.126258465303046,1.4635342282210635,
0.88,-2.9,0.05758077521127701,-1.4867256341514037,-29.75073262941343,-32.65073262941343,1.4038665514280009,
0.9,-2.4,0.02816086157279769,-1.4514375761856326,-28.902584277349185,-31.302584277349183,1.3450267241510423,
0.92,-1.3,-0.0004260089310128772,-1.403546818870833,-27.292074255760664,-28.592074255760664,1.2878529831434211,
0.94,0.3,-0.028055484452724995,-1.3558238881492302,-25.119297403952675,-24.819297403952675,1.2325940320999969,
0.96,1.5,-0.05483804853682106,-1.3189535085371422,-22.47586396017219,-20.97586396017219,1.1790289039318047,
0.98,1.5,-0.08091633432635642,-1.2854844857971766,-20.258952027682657,-18.758952027682657,1.1268723323527339,
1,2.1,-0.10612439119861283,-1.232070241468545,-19.283914527194913,-17.18391452719491,1.0764562186082212,
1.02,2.9,-0.13019224630859405,-1.1716232357448622,-17.75654167661547,-14.85654167661547,1.0283205083882587,
1.04,1.3,-0.153028957352072,-1.1091204740829745,-16.078547447354936,-14.778547447354935,0.9826470863013028,
1.06,-0.8,-0.1741251886556262,-0.9978656556409536,-16.887643696510374,-17.687643696510374,0.9404546236941944,
1.08,-1.7,-0.19242619198411798,-0.830036740814582,-18.328419054834857,-20.028419054834856,0.9038526170372109,
1.1,-0.9,-0.20706877386332978,-0.6325423642938415,-18.724806718489678,-19.624806718489676,0.8745674532787873,
1.12,-0.5,-0.21783088725116073,-0.44249131634552963,-17.571583068984417,-18.071583068984417,0.8530432265031254,
1.14,0.2,-0.22481127639622392,-0.25486467733108586,-16.96674192776415,-16.76674192776415,0.839082448212999,
1.16,0.7,-0.228147636153897,-0.0785538111588116,-16.201495354602145,-15.501495354602145,0.8324097286976528,
1.18,0.3,-0.2280536529940403,0.08773068709305999,-15.76789344000842,-15.46789344000842,0.8325976950173662,
1.2,-0.3,-0.2245762438475656,0.25933673890795483,-16.369870007877346,-16.669870007877346,0.8395525133103157,
1.22,-1,-0.2175964219232863,0.43750269715843104,-17.312589316475236,-18.312589316475236,0.8535121571588743,
1.24,-1.3,-0.20699145089237905,0.6213673090162076,-18.50057211717961,-19.80057211717961,0.8747220992206888,
1.26,-2.2,-0.19275629298168645,0.8000500615081817,-19.429915436548143,-21.629915436548142,0.903192415042074,
1.28,-4.1,-0.174902935834069,0.9827059764163947,-21.103597383310767,-25.203597383310765,0.938899129337309,
1.3,-5.3,-0.1531816462051142,1.1863078413035608,-23.937875620946247,-29.237875620946248,0.9823417085952186,
1.32,-4.4,-0.12734606649293131,1.3935887981160797,-26.235966505612623,-30.635966505612622,1.0340128680195844,
1.34,-3.6,-0.09777384105090106,1.5595325356123946,-26.565990486298613,-30.165990486298615,1.093157318903645,
1.36,-3.2,-0.06529590639305739,1.6838296056383617,-27.09502684509476,-30.29502684509476,1.1581131882193323,
1.38,-2.4,-0.030683041948460915,1.7727889251583102,-28.095024835482217,-30.495024835482216,1.2273389171085252,
1.4,-0.2,0.005266019885270274,1.817329309719643,-28.731028240430238,-28.931028240430237,1.2992370407759875,
1.42,3.3,0.0413791282657206,1.7892632743920782,-27.946135968017018,-24.646135968017017,1.3714632575368881,
1.44,3.5,0.07595312277191034,1.6637430436319756,-25.763742549203197,-22.263742549203197,1.4406112465492675,
1.46,2.3,0.107720940232395,1.5090516216674361,-26.759568421109147,-24.459568421109147,1.5041468814702368,
1.48,0.6,0.13640388178438154,1.355659878594554,-29.03409824104076,-28.434098241040758,1.56151276457421,
1.5,-0.2,0.16215165733612238,1.2159042307046874,-31.69789303865063,-31.89789303865063,1.6130083156776918,
1.52,0,0.18507902290960618,1.0739928396240148,-33.34952981728682,-33.34952981728682,1.6588630468246595,
1.54,0.7,0.2049660866984525,0.9122991171581638,-33.87368252919176,-33.17368252919176,1.698637174402352,
1.56,1.5,0.22134402199905126,0.7235758788912343,-33.64552740585763,-32.14552740585763,1.7261454634516105,
1.58,1.7,0.2336833651954209,0.5090040030093497,-33.073818120379364,-31.373818120379365,1.7418088271199714,
1.6,1.7,0.24162174927714422,0.2840722877671701,-32.98793004578824,-31.28793004578824,1.7518856841157102,
1.62,2.6,0.2450277625039539,0.056366997294580695,-32.987430400407085,-30.387430400407084,1.7562092224906265,
1.64,3.7,0.24370262434007117,-0.1883986434634995,-31.94284156992704,-28.24284156992704,1.7535589461628611,
1.66,4.6,0.23730467058498791,-0.4502253800477937,-30.4915541255105,-25.891554125510503,1.7407630386526947,
1.68,7.2,0.22557460400307938,-0.7208969435643033,-29.026428883005504,-21.826428883005505,1.7173029054888775,
1.7,8.8,0.2080398953257623,-1.02987736327818,-25.61770345727048,-16.81770345727048,1.6822334881342433,
1.72,8.4,0.18418414850962242,-1.3521520091503616,-22.95442164300985,-14.554421643009851,1.6345219945019636,
1.74,7.7,0.15419136581250248,-1.642812885878412,-22.060777473574433,-14.360777473574434,1.5745364291077237,
1.76,6.6,0.11879783026851104,-1.8915690834593204,-21.26971781973146,-14.669717819731462,1.503749358019741,
1.78,4.2,0.07895846226543125,-2.086878129185998,-20.723292837024054,-16.523292837024055,1.4240706220135815,
1.8,4.2,0.03602936021838237,-2.2002388219642866,-21.38578384467401,-17.18578384467401,1.3382124179194836,
1.82,5.5,-0.00881483014770694,-2.278179413067658,-19.58602325966101,-14.086023259661012,1.248524037187305,
1.84,7.4,-0.05511417034322313,-2.345575522182408,-16.432790838063163,-9.032790838063162,1.1559253567962726,
1.86,6.5,-0.10276721238876067,-2.4133709093020825,-12.625965885256734,-6.1259658852567345,1.0606192727051975,
1.88,4.3,-0.1512133824302271,-2.424854723345556,-11.609058457127912,-7.309058457127912,0.9637269326222646,
1.9,2,-0.19906838958193945,-2.3544354112661057,-11.946365955553059,-9.946365955553059,0.86801691831884,
1.92,1.9,-0.24468934898445935,-2.201847325062794,-12.50284702202594,-10.602847022025939,0.7767749995138002,
1.94,2.4,-0.2868992617399604,-2.0138242923459906,-11.00734947261543,-8.60734947261543,0.6923551740027982,
1.96,2.8,-0.3251403219724551,-1.805510001986525,-9.076185564431348,-6.276185564431349,0.6158730535378087,
1.98,4.8,-0.359020587346324,-1.5783425187071463,-7.4242864230478975,-2.6242864230478977,0.5481125227900709,
2,5.8,-0.3885184773985559,-1.3678283803779365,-4.339118361572687,1.4608816384273124,0.48911674268560723,
2.02,7.3,-0.4138001675778973,-1.1572775527656893,-2.420413030916732,4.879586969083268,0.43855336232692443,
2.04,8.5,-0.43499770941480825,-0.9599345333624876,-0.15796418769264076,8.342035812307358,0.3961582786531025,
2.06,6.1,-0.45234592681108376,-0.772838908357669,1.6563825944446302,7.75638259444463,0.36146184386055147,
2.08,2.9,-0.46536148724479653,-0.5273126062400721,-0.3223449106379901,2.57765508936201,0.33543072299312593,
2.1,0.2,-0.4727579231602497,-0.21175414893417893,-3.3493080605339003,-3.1493080605339,0.32063785116221954,
2.12,-0.6,-0.4732873434591571,0.15841639166638835,-6.167958390996544,-6.767958390996544,0.31957901056440485,
2.14,-1.3,-0.46629703652426907,0.5392153952630242,-7.38748248961791,-8.68748248961791,0.33355962443418086,
2.16,-2.3,-0.4516548595610454,0.922592942605996,-8.81006239676303,-11.11006239676303,0.3628439783606282,
2.18,-2.2,-0.42930998588851055,1.3084680258733408,-10.837674130139497,-13.037674130139496,0.4075337257056979,
2.2,-1.7,-0.39949252886829467,1.6688996568425112,-12.050699673960455,-13.750699673960455,0.46716863974612965,
2.22,-1.3,-0.3628465809597629,1.9904671493772788,-13.118651797662663,-14.418651797662664,0.5404605355631932,
2.24,-2.6,-0.320178251623274,2.2703974284734207,-14.50866115068792,-17.108661150687922,0.625797194236171,
2.26,-5.2,-0.2720236398297643,2.538388251296835,-17.810759184673195,-23.010759184673194,0.7221064178231904,
2.28,-9.2,-0.21840415678005745,2.816152928555042,-22.632286344579423,-31.832286344579423,0.8293453839226042,
2.3,-11.1,-0.15888962623062786,3.1270753514427936,-29.09904082708675,-40.19904082708675,0.9483744450214633,
2.32,-9.8,-0.09328588774971806,3.424289439301005,-33.70101968263821,-43.501019682638216,1.079581921983283,
2.34,-7.7,-0.02255080885972285,3.639636888609725,-35.27471274210072,-42.97471274210072,1.2210520797632733,
2.36,-3.5,0.051488974969928256,3.754451337352218,-36.14097027490749,-39.64097027490749,1.3691316474225756,
2.38,-0.3,0.12639124360106876,3.725952028591969,-34.887249329157385,-35.18724932915738,1.5189361846848566,
2.4,0.1,0.19950046194505702,3.575535612597401,-34.51677992877335,-34.41677992877335,1.665154621372833,
2.42,0.3,0.26896580957441607,3.362123801057167,-36.41446135436738,-36.114461354367386,1.7856323875764324,
2.44,1.4,0.333603925425354,3.0935172358810146,-37.73305310940496,-36.333053109404965,1.86769515213275,
2.46,2.6,0.3921766139698226,2.7564655139835184,-37.973839894735924,-35.37383989473592,1.9420574178977337,
2.48,7.5,0.4433514903515313,2.354791038096633,-37.904872686504184,-30.404872686504184,2.007027625900012,
2.5,10.1,0.4851653601897656,1.8217621934339197,-33.851795913092595,-23.751795913092593,2.0601133588387106,
2.52,10.3,0.5155397700124897,1.2124467190685757,-31.78328284392625,-21.48328284392625,2.0986758696576757,
2.54,8.8,0.5335268657948873,0.5846845152624857,-31.797385050595494,-22.997385050595494,2.121511789096398,
2.56,8.7,0.5391962008523709,-0.017739833070501088,-33.212351963420915,-24.512351963420915,2.128709420120886,
2.58,8.7,0.5328692541804263,-0.613373134506462,-32.83802565606243,-24.13802565606243,2.1160555267769965,
2.6,8.2,0.5147554135578181,-1.1948954698365026,-31.903691135955775,-23.703691135955776,2.07982784553178,
2.62,7.6,0.4853274257450307,-1.7433401692750203,-31.03516196318786,-23.43516196318786,2.020971869906205,
2.64,5,0.4453515377936992,-2.2483516799775187,-29.866592310300042,-24.866592310300042,1.9410200940035423,
2.66,2,0.3961723078921449,-2.662577080486674,-30.368914837765395,-28.368914837765395,1.8426616342004336,
2.68,-1,0.3397459567604363,-2.972241334366197,-31.02455111048962,-32.024551110489625,1.7298089319370162,
2.7,-2.6,0.2782073669356802,-3.173264623693073,-31.51932096793067,-34.11932096793067,1.6067317522875042,
2.72,-3.8,0.2134767742844739,-3.2911260153433686,-30.519426901610746,-34.31942690161075,1.4772705669850916,
2.74,-5,0.14715221703047357,-3.3325473794821425,-29.085422846519606,-34.085422846519606,1.344621452477091,
2.76,-6.3,0.08076527876169809,-3.297452109843212,-27.677802179022997,-33.977802179022994,1.21184757593954,
2.78,-5.7,0.015856942312796385,-3.184979111581216,-26.45772508809717,-32.15772508809717,1.0820309030417365,
2.8,-5,-0.04642529016746725,-3.0352342469019606,-23.455373588924346,-28.455373588924346,0.9574664380812092,
2.82,-4.1,-0.10538131680899988,-2.852837406934753,-20.496644937573777,-24.596644937573778,0.8395543847981439,
2.84,-1.6,-0.1604282743018745,-2.6448740246232942,-17.501878509911002,-19.101878509911003,0.7294604698123947,
2.86,0.5,-0.21140761880986567,-2.4465993437022626,-13.064042451945046,-12.564042451945046,0.6275017807964123,
2.88,0.8,-0.25846418750069616,-2.2531067823896684,-9.179268559237576,-8.379268559237575,0.5333886434147512,
2.9,0.3,-0.30136524235848733,-2.031630131890024,-7.269097530072412,-6.969097530072412,0.4475865336991689,
2.92,-1.7,-0.3394279690468568,-1.769961364402136,-6.365088112022104,-8.065088112022103,0.37146108032242997,
2.94,-4.7,-0.37159285598002584,-1.442704947782187,-7.218642035992718,-11.918642035992718,0.3071313064560919,
