t,ytt,xt,xtt,x,xtt+ytt,f
0,-1.5,0,0,0,0,0
0.02,-0.7,0.006946389,0.694638948,6.95E-05,-0.005361052,0.000138928
0.04,0.9,0.00480088,-0.90918985,0.000186937,-0.00918985,0.000373873
0.06,1.7,-0.02122,-1.692898201,2.27E-05,0.007101799,4.55E-05
0.08,0.9,-0.046713664,-0.85646818,-0.000656591,0.04353182,-0.001313182
0.1,1.7,-0.071284559,-1.60062134,-0.001836573,0.09937866,-0.003673147
0.12,2.3,-0.108447332,-2.115655998,-0.003633892,0.184344002,-0.007267785
0.14,3,-0.156533073,-2.69291803,-0.006283696,0.30708197,-0.012567393
0.16,3.3,-0.211729505,-2.826725227,-0.009966322,0.473274773,-0.019932644
0.18,3,-0.263195062,-2.319830465,-0.014715568,0.680169535,-0.029431136
0.2,2.7,-0.304197123,-1.780375596,-0.02038949,0.919624404,-0.040778979
0.22,2,-0.330202091,-0.820121183,-0.026733482,1.179878817,-0.053466964
0.24,-0.2,-0.32206018,1.634312212,-0.033256105,1.434312212,-0.066512209
0.26,-2.6,-0.263284666,4.243239248,-0.039109553,1.643239248,-0.078219106
0.28,-4,-0.16311416,5.773811366,-0.043373541,1.773811366,-0.086747083
0.3,-5.6,-0.031366828,7.400921808,-0.045318351,1.800921808,-0.090636702
0.32,-6.1,0.12072546,7.808306992,-0.044424765,1.708306992,-0.08884953
0.34,-6,0.273757328,7.494879775,-0.040479937,1.494879775,-0.080959874
0.36,-6.1,0.421354305,7.264817952,-0.033528821,1.164817952,-0.067057641
0.38,-5.8,0.559259466,6.525698132,-0.023722683,0.725698132,-0.047445366
0.4,-5.5,0.681414927,5.68984799,-0.011315939,0.18984799,-0.022631878
0.42,-5.2,0.786024301,4.771089398,0.003358453,-0.428910602,0.006716907
0.44,-4.8,0.870587254,3.685205888,0.019924569,-1.114794112,0.039849138
0.46,-4.6,0.934920978,2.748166566,0.037979651,-1.851833434,0.075959302
0.48,-4.1,0.977176353,1.477370895,0.057100624,-2.622629105,0.114201249
0.5,-3.1,0.988917679,-0.303238293,0.076761565,-3.403238293,0.15352313
0.52,-2.6,0.970189273,-1.569602274,0.096352634,-4.169602274,0.192705269
0.54,-4.1,0.946321129,-0.817212176,0.115517738,-4.917212176,0.231035477
0.56,-5.4,0.93558787,-0.256113726,0.134336828,-5.656113726,0.268673657
0.58,-5.6,0.925158977,-0.786775537,0.152944297,-6.386775537,0.305888594
0.6,-3.9,0.885425358,-3.186586361,0.17105014,-7.086586361,0.34210028
0.62,-1.3,0.789443358,-6.411613665,0.187798827,-7.711613665,0.375597655
0.64,0.4,0.63913791,-8.618931125,0.20208464,-8.218931125,0.40416928
0.66,1.6,0.451163596,-10.17850026,0.212987655,-8.57850026,0.42597531
0.68,2.4,0.237678968,-11.1699626,0.219876081,-8.769962595,0.439752161
0.7,2.5,0.013136045,-11.28432971,0.222384231,-8.784329706,0.444768462
0.72,3.4,-0.219856092,-12.01488394,0.22031703,-8.614883936,0.440634061
0.74,5.2,-0.474452941,-13.44480097,0.21337394,-8.244800966,0.42674788
0.76,6.3,-0.748487896,-13.95869453,0.201144532,-7.658694531,0.402289063
0.78,5.6,-1.012712741,-12.46378997,0.183532525,-6.863789969,0.367065051
0.8,3.7,-1.233290119,-9.593947868,0.161072497,-5.893947868,0.322144993
0.82,1.5,-1.392204943,-6.297534487,0.134817546,-4.797534487,0.269635092
0.84,-1.2,-1.479489581,-2.430929397,0.106100601,-3.630929397,0.212201202
0.86,-2.6,-1.502250922,0.154795394,0.076283196,-2.445204606,0.152566392
0.88,-2.9,-1.484431244,1.627172392,0.046416374,-1.272827608,0.092832748
0.9,-2.4,-1.445467906,2.269161381,0.017117383,-0.130838619,0.034234765
0.92,-1.3,-1.400022458,2.275383419,-0.011337521,0.975383419,-0.022675042
