t,ytt,xtt,xtt+ytt,xt,x,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.2679411444749477,-0.43205885552505224,0.0026794114447494773,2.6794114447494773E-05,5.358822889498955E-05,
0.04,0.9,-1.0153176368527663,-0.1153176368527663,-0.0047943534790287085,5.644694104702455E-06,1.128938820940491E-05,
0.06,1.7,-1.7002373161710427,-0.00023731617104272296,-0.031949903009266804,-0.0003617978707782527,-0.0007235957415565054,
0.08,0.9,-0.835674438096082,0.06432556190391803,-0.05730902055193805,-0.0012543871063903013,-0.0025087742127806027,
0.1,1.7,-1.5605938039994334,0.13940619600056658,-0.08127170297289321,-0.002640194341638614,-0.005280388683277228,
0.12,2.3,-2.0640940864738306,0.2359059135261692,-0.11751858187762584,-0.004628097190143804,-0.009256194380287608,
0.14,3,-2.63188741142309,0.36811258857690987,-0.16447839685659504,-0.007448066977486013,-0.014896133954972026,
0.16,3.3,-2.76003566257864,0.5399643374213596,-0.21839762759661235,-0.011276827222018088,-0.022553654444036175,
0.18,3,-2.2517766874882006,0.7482233125117994,-0.26851575109728076,-0.01614596100895702,-0.03229192201791404,
0.2,2.7,-1.7117663131290437,0.9882336868709565,-0.3081511811034532,-0.02191263033096436,-0.04382526066192872,
0.22,2,-0.7540875363377489,1.245912463662251,-0.3328097195981211,-0.0283222393379801,-0.0566444786759602,
0.24,-0.2,1.6892447309729473,1.4892447309729473,-0.3234581476517691,-0.03488491801047901,-0.06976983602095801,
0.26,-2.6,4.28649237720559,1.6864923772055902,-0.26370077656998375,-0.040756507252696535,-0.08151301450539307,
0.28,-4,5.8108191792180515,1.8108191792180515,-0.16272766100574734,-0.04502079162845384,-0.09004158325690768,
0.3,-5.6,7.430095147932286,1.830095147932286,-0.03031851773424396,-0.04695125341585375,-0.0939025068317075,
0.32,-6.1,7.835528769928453,1.735528769928453,0.12233772144436342,-0.04603106137875256,-0.09206212275750512,
0.34,-6,7.522731414756382,1.5227314147563824,0.27592032329121174,-0.04204848093139681,-0.08409696186279363,
0.36,-6.1,7.291758403416189,1.1917584034161894,0.42406522147293746,-0.03504862548375532,-0.07009725096751064,
0.38,-5.8,6.553836711570688,0.7538367115706883,0.5625211726228062,-0.025182761542797884,-0.05036552308559577,
