t,mu,totalMu,totalDamage,
0,0,0,0,
0.02,-0.01875,0.01875,3.2958984374999995E-09,
0.04,-0.00875,0.028749999999999998,3.795898437499999E-09,
0.06,0.01125,0.04875,1.67958984375E-08,
0.08,0.02125,0.05875,3.52958984375E-08,
0.1,0.01125,0.06875,3.57958984375E-08,
0.12,0.02125,0.07875,3.62958984375E-08,
0.14,0.02875,0.08625000000000001,5.788183593749999E-08,
0.16,0.0375,0.095,9.328515624999999E-08,
0.18,0.04125,0.09875,1.122958984375E-07,
0.2,0.0375,0.10250000000000001,1.12322265625E-07,
0.22,0.03375,0.10625000000000001,1.125068359375E-07,
0.24,0.025,0.115,1.1444140625E-07,
0.26,-0.0025,0.14250000000000002,1.54166015625E-07,
0.28,-0.0325,0.17250000000000001,3.128613281250001E-07,
0.3,-0.05,0.19,4.921953125E-07,
0.32,-0.07,0.21000000000000002,8.007421875000003E-07,
0.34,-0.07625,0.21625,9.234130859375E-07,
0.36,-0.075,0.2175,9.234140625000001E-07,
0.38,-0.07625,0.21875,9.234150390625001E-07,
0.4,-0.0725,0.2225,9.234414062500001E-07,
0.42,-0.06875,0.22625,9.236259765625001E-07,
0.44,-0.065,0.22999999999999998,9.241269531250001E-07,
0.46,-0.06,0.235,9.255605468750001E-07,
0.48,-0.0575,0.2375,9.267109375000001E-07,
0.5,-0.05125,0.24375,9.312275390625E-07,
0.52,-0.03875,0.25625,9.497822265625001E-07,
0.54,-0.0325,0.2625,9.652851562500001E-07,
0.56,-0.05125,0.28125,9.685810546875E-07,
0.58,-0.0675,0.2975,9.867226562500001E-07,
0.6,-0.07,0.3,9.9165234375E-07,
0.62,-0.04875,0.32125000000000004,9.964501953125E-07,
0.64,-0.01625,0.35375,1.0841494140625E-06,
0.66,0.005,0.375,1.244337890625E-06,
0.68,0.02,0.39,1.421982421875E-06,
0.7,0.03,0.4,1.5758808593749998E-06,
0.72,0.03125,0.40125,1.5972978515625E-06,
0.74,0.0425,0.4125,1.8134296875E-06,
0.76,0.065,0.435,2.385228515625E-06,
0.78,0.07875,0.44875000000000004,2.8380869140624998E-06,
0.8,0.07,0.4575,2.838421875E-06,
0.82,0.04625,0.48125000000000007,2.8552509765625E-06,
0.84,0.01875,0.50875,2.9460869140625E-06,
0.86,-0.015,0.5425,3.25007421875E-06,
0.88,-0.0325,0.56,3.526533203125E-06,
0.9,-0.03625,0.56375,3.5985244140625E-06,
0.92,-0.03,0.5700000000000001,3.598646484375E-06,
0.94,-0.01625,0.58375,3.6025244140624997E-06,
0.96,0.00375,0.60375,3.6305244140624997E-06,
0.98,0.01875,0.61875,3.6817119140624997E-06,
1,0.01875,0.61875,3.6817119140624997E-06,
1.02,0.02625,0.62625,3.7205947265625E-06,
1.04,0.03625,0.63625,3.7890634765624997E-06,
