T,Sx,Sv,Sa
1,8.750263789821442,54.40868593224137,425.83750073283454
1.01,8.764995418175205,55.16406830720617,416.32714344673514
1.02,8.943100810023155,55.200725124768816,406.37655655486077
1.03,9.14846204945728,54.161546927999225,396.5639769988271
1.04,9.183743300793266,54.69076691177375,388.31064894178405
1.05,9.065484343691107,54.224752575502606,380.8573005344373
1.06,8.834942819531346,52.76945215072649,374.55752358316056
1.07,8.549964273664285,50.70892588853744,369.5985850229991
1.08,8.27167081984473,48.93428042242112,365.96984679657845
1.09,8.338366582384735,47.33078590989127,363.48030114720007
1.1,8.426223988345336,46.5232347845901,361.80884379266377
1.11,8.523553882243796,47.01922000075327,360.56152937359934
1.12,8.627166770012801,47.621672519598796,359.32172972530896
1.13,8.73282399052087,48.265159402425176,357.69350728107213
1.14,8.814145607467575,48.88091740640242,355.3427265553223
1.15,8.861898152695304,49.404771853632724,352.0348711726982
1.16,8.874755016485,49.785211585432904,347.6616454928467
1.17,8.877419147483785,49.98969786114408,342.24736677532474
1.18,8.841400616996342,50.00746539219931,335.9317498899935
1.19,8.771913746524545,49.85967429781641,328.9337366617678
1.2,8.701801093947246,49.70176237576531,321.5065648498429
1.21,8.67574040987439,49.416076780767334,313.8949990704739
1.22,8.750152601322663,49.03841849754374,306.30249216157506
1.23,8.794940306953515,48.60263596168967,298.8715970439968
1.24,8.780180285502006,48.13602008759604,291.677431671311
1.25,8.714064038275245,47.65641615963269,292.6182689831239
1.26,8.630993871113342,47.17112324591532,293.6576902567737
1.27,8.506528933083784,46.67753273463944,294.5928211103649
1.28,8.3443675863175,46.16531892027723,295.4555353590588
1.29,8.157380125596434,45.61977980105587,296.23398526009663
1.3,8.046731627222387,45.025686399947716,296.8812563331733
1.31,8.00584702691582,44.419735755157895,297.3298276862053
1.32,7.9448657494081765,43.78400158779878,297.5084211098666
1.33,7.882379456971196,43.07532916134942,297.3572986918311
1.34,7.804395057006733,42.29836124432809,296.83862086853685
1.35,7.708300386371401,41.46214733382366,295.9399577806553
1.36,7.612595045536611,40.57769835338613,294.67097813124616
1.37,7.505865921004427,39.655534686216924,293.0551178475462
1.38,7.386446314061956,38.70390806710023,291.11915253148607
1.39,7.255950526367789,37.72812496997461,288.8838150797504
1.4,7.12599791213313,36.731057424643076,286.3579624066173
1.41,6.988323344622843,35.71460081829103,283.5375876243593
1.42,6.840803395169668,34.681611860557254,280.72450705179625
1.43,6.6852094415235985,33.637778022077825,277.71474919380114
1.44,6.5243028289391685,32.592931853604235,274.3459458888898
1.45,6.361979553007702,31.561492831413585,270.6204061086255
1.46,6.2777224449730635,30.561939346028066,266.5608111771547
1.47,6.310127799127594,29.615426255570508,262.21319538410626
1.48,6.3468182559953,28.74382396096591,257.6461031337501
1.49,6.388419557255754,27.967538653839778,252.94622862659455
1.5,6.436341576291447,27.665852735539623,248.2114322299808
1.51,6.490450937572293,27.65503494397323,243.54236148906617
1.52,6.562093010935455,27.61163357992354,239.0339735779416
1.53,6.652659148168952,27.74931728694609,234.76810233218538
1.54,6.7677337417353955,28.04700023968659,230.80790997746652
1.55,6.910855530564293,28.42229590372858,227.19469272908248
1.56,7.083097483570819,28.85297346564868,223.94714280335901
1.57,7.284613133281336,29.318552785011573,221.06285957029257
1.58,7.507305571497013,29.801717261986425,218.52167898306152
1.59,7.743837098336267,30.289221268119878,216.29026137538239
1.6,7.996464672043325,30.77225658135856,214.32733578896853
1.61,8.249120028816042,31.246304938277284,212.58902735254156
1.62,8.506795138146716,31.79038066876363,211.03377244744706
1.63,8.754708764871335,32.855196033531804,209.6264346896232
1.64,9.016303345215437,34.10426230701477,208.34135648445155
1.65,9.247118297379004,35.18362218387044,207.16420342163627
1.66,9.462843765691161,36.099624585222564,206.09257319395942
1.67,9.675006140053233,36.804922130548945,205.1354411459566
1.68,9.87386426720679,37.22466450352472,204.31159716540114
1.69,10.060637426350024,37.352315078182514,203.64729097774278
1.7,10.275173354165778,37.257501052985496,203.17334353894674
1.71,10.555004826648084,36.97395853146746,202.92200059983904
1.72,10.812551906272185,36.518123421297396,202.92380110253433
1.73,11.065781204008125,36.81804273789656,203.20470950531194
1.74,11.299847901107483,37.212933380587366,204.17517817419383
1.75,11.539385487090193,37.54632601914307,204.9226197669822
1.76,11.778777375820715,37.80455881942706,205.86728188331068
1.77,12.023621409961402,37.975430823035396,207.36267086094585
1.78,12.299538293509864,38.0488885289561,209.1379404084334
1.79,12.595206276592549,38.629495798080676,211.16511590899174
1.8,12.915557742365646,39.3454926111131,213.40908348839227
1.81,13.278758495793731,40.00195100327909,215.82944224865298
1.82,13.672101329103405,40.58858937367553,218.38251836817295
1.83,14.085397431434776,41.097172423249326,221.02337399958643
1.84,14.52978182847939,41.52162489162196,223.70766112622385
1.85,14.982822932958744,42.15796868288098,226.39319869619024
1.86,15.43294548578151,43.66553834082172,229.04118694814866
1.87,15.880202123114145,45.159044893315674,231.61701207119245
1.88,16.30260633435973,46.60651162090784,234.0906334725971
1.89,16.689822702722157,47.91410709934492,236.43658163877706
1.9,17.05207553536452,49.127422354924484,238.63362420437645
1.91,17.36851741684906,50.299008033625334,240.6641795507099
1.92,17.63744327356387,51.73774014070625,242.51357007983486
1.93,17.854364213173625,53.0083197431209,244.16921115418933
1.94,18.014211951576428,54.10521417743023,245.6198272121663
1.95,18.11438737839078,55.016722271531414,246.85477503149482
1.96,18.15575167594347,55.71182048006954,247.8635372016052
1.97,18.432753210304984,56.13070890942537,248.6354284990122
1.98,18.76394906531439,56.295368390851884,249.15953599584995
1.99,19.033895842824407,56.25665841746904,249.42489221293468
2,19.244303629703303,55.89102964699049,249.42086105054926
2.01,19.398263942487258,55.325320286118064,249.13769985144359
2.02,19.4977814190472,54.80067027255012,248.56724864333964
2.03,19.54422757806517,54.62396767728841,247.70368984456834
2.04,19.53979359255852,54.366307490218986,246.5443185876718
2.05,19.486771853158753,54.07382178120921,245.09026507713722
2.06,19.385228685294837,53.69986822408549,243.34711553075806
2.07,19.23322688429942,53.26432116419526,241.3253865407633
2.08,19.052003320081862,52.788461250338784,239.04081828773147
2.09,18.83981468179535,52.2943402719901,236.51446405321494
