t,acc
0,-1.5
0.02,-0.7
0.04,0.9
0.06,1.7
0.08,0.9
0.1,1.7
0.12,2.3
0.14,3
0.16,3.3
0.18,3
0.2,2.7
0.22,2
0.24,-0.2
0.26,-2.6
0.28,-4
0.3,-5.6
0.32,-6.1
0.34,-6
0.36,-6.1
0.38,-5.8
0.4,-5.5
0.42,-5.2
0.44,-4.8
0.46,-4.6
0.48,-4.1
0.5,-3.1
0.52,-2.6
0.54,-4.1
0.56,-5.4
0.58,-5.6
0.6,-3.9
0.62,-1.3
0.64,0.4
0.66,1.6
0.68,2.4
0.7,2.5
0.72,3.4
0.74,5.2
0.76,6.3
0.78,5.6
0.8,3.7
0.82,1.5
0.84,-1.2
0.86,-2.6
0.88,-2.9
0.9,-2.4
0.92,-1.3
0.94,0.3
0.96,1.5
0.98,1.5
1,2.1
1.02,2.9
1.04,1.3
1.06,-0.8
1.08,-1.7
1.1,-0.9
1.12,-0.5
1.14,0.2
1.16,0.7
1.18,0.3
1.2,-0.3
1.22,-1
1.24,-1.3
1.26,-2.2
1.28,-4.1
1.3,-5.3
1.32,-4.4
1.34,-3.6
1.36,-3.2
1.38,-2.4
1.4,-0.2
1.42,3.3
1.44,3.5
1.46,2.3
1.48,0.6
1.5,-0.2
1.52,0
1.54,0.7
1.56,1.5
1.58,1.7
1.6,1.7
1.62,2.6
1.64,3.7
1.66,4.6
1.68,7.2
1.7,8.8
1.72,8.4
1.74,7.7
1.76,6.6
1.78,4.2
1.8,4.2
1.82,5.5
1.84,7.4
1.86,6.5
1.88,4.3
1.9,2
1.92,1.9
1.94,2.4
1.96,2.8
1.98,4.8
2,5.8
2.02,7.3
2.04,8.5
2.06,6.1
2.08,2.9
2.1,0.2
2.12,-0.6
2.14,-1.3
2.16,-2.3
2.18,-2.2
2.2,-1.7
2.22,-1.3
2.24,-2.6
2.26,-5.2
2.28,-9.2
2.3,-11.1
2.32,-9.8
2.34,-7.7
2.36,-3.5
2.38,-0.3
2.4,0.1
2.42,0.3
2.44,1.4
2.46,2.6
2.48,7.5
2.5,10.1
2.52,10.3
2.54,8.8
2.56,8.7
2.58,8.7
2.6,8.2
2.62,7.6
2.64,5
2.66,2
2.68,-1
2.7,-2.6
2.72,-3.8
2.74,-5
2.76,-6.3
2.78,-5.7
2.8,-5
2.82,-4.1
2.84,-1.6
2.86,0.5
2.88,0.8
2.9,0.3
2.92,-1.7
2.94,-4.7
2.96,-7
2.98,-6.2
3,-5.8
3.02,-5.5
3.04,-5
3.06,-3.1
3.08,-2.5
3.1,-5.2
3.12,-8.2
3.14,-9.7
3.16,-8.8
3.18,-6.3
3.2,-3.4
3.22,-3.3
3.24,-4.3
3.26,-4.1
3.28,-3.2
3.3,-2.8
3.32,-2.8
3.34,-2.8
3.36,-2
3.38,-1.6
3.4,-3.2
3.42,-3.2
3.44,-2.6
3.46,-1.2
3.48,-0.2
3.5,1.1
3.52,4.9
3.54,7.9
3.56,8.4
3.58,6.4
3.6,4.1
3.62,2.9
3.64,3.8
3.66,5.9
3.68,9.2
3.7,12.1
3.72,12.6
3.74,10.6
3.76,5.4
3.78,0.5
3.8,-1
3.82,-2.7
3.84,-2.3
3.86,-0.1
3.88,2.5
3.9,4.5
3.92,5
3.94,4.5
3.96,4.6
3.98,4.9
4,3.7
4.02,0.9
4.04,-0.8
4.06,-1.7
4.08,-3.1
4.1,-3.8
4.12,-1.4
4.14,1.6
4.16,2.6
4.18,0
4.2,-1.5
4.22,-1.4
4.24,-2.9
4.26,-5
4.28,-4.1
4.3,-1.9
4.32,-0.4
4.34,2.4
4.36,7.4
4.38,12.5
4.4,14
4.42,13.5
4.44,11.7
4.46,8.9
4.48,6.1
4.5,6.7
4.52,8
4.54,6.9
4.56,6
4.58,4.2
4.6,-2
4.62,-5.4
4.64,-7.6
4.66,-9.9
4.68,-12.5
4.7,-12.8
4.72,-9.8
4.74,-8
4.76,-6.4
4.78,-1
4.8,3.2
4.82,4.7
4.84,4.7
4.86,4.2
4.88,1
4.9,-7.5
4.92,-14.1
4.94,-14.1
4.96,-12.3
4.98,-6.6
5,-2.5
5.02,-3.4
5.04,-5.7
5.06,-10.3
5.08,-8.8
5.1,-4.3
5.12,0.6
5.14,5.1
5.16,3.8
5.18,0.9
5.2,-0.7
5.22,-0.2
5.24,2.1
5.26,3
5.28,4.1
5.3,8.2
5.32,10.1
5.34,5.4
5.36,1.8
5.38,0.8
5.4,0.9
5.42,0.9
5.44,-1.6
5.46,-3.5
5.48,-5
5.5,-6.9
5.52,-6.4
5.54,-1.7
5.56,-1.6
5.58,-0.7
5.6,-3
5.62,-9.4
5.64,-11.5
5.66,-8.9
5.68,2.5
5.7,12.6
5.72,16.3
5.74,12.8
5.76,2.7
5.78,-7.7
5.8,-15.1
5.82,-10.4
5.84,-2.5
5.86,3.2
5.88,6.4
5.9,3
5.92,-1.2
5.94,-3.8
5.96,-5.4
5.98,-0.8
6,0.7
6.02,-1.8
6.04,-6.3
6.06,-11.5
6.08,-13.2
6.1,-8.6
6.12,1.3
6.14,8.9
6.16,11.1
6.18,6.9
6.2,-2.7
6.22,-9.6
6.24,-10.4
6.26,-5.1
6.28,1.5
6.3,7.2
6.32,10.6
6.34,13.4
6.36,12.8
6.38,7.5
6.4,4
6.42,4.2
6.44,4.6
6.46,6
6.48,4.8
6.5,-0.8
6.52,-1.2
6.54,3.9
6.56,6.7
6.58,3.2
6.6,-3.3
6.62,-2.5
6.64,0.4
6.66,-1.1
6.68,-1.7
6.7,4.1
6.72,14.7
6.74,14.9
6.76,5.4
6.78,-5.4
6.8,-10.4
6.82,-8.3
6.84,-5
6.86,-4.2
6.88,-3.8
6.9,-2.3
6.92,-1.9
6.94,-1.4
6.96,-1
6.98,2.5
7,8.3
7.02,8.3
7.04,7
7.06,0.5
7.08,-5.2
7.1,-3.5
7.12,-0.5
7.14,-1.6
7.16,-4.2
7.18,-3.8
7.2,0.4
7.22,4.9
7.24,2.3
7.26,-3.9
7.28,-1.5
7.3,6
7.32,6.8
7.34,1.4
7.36,-3.8
7.38,-5.5
7.4,4.2
7.42,9.6
7.44,3
7.46,-6.5
7.48,-14
7.5,-20.5
7.52,-28.9
7.54,-32.8
7.56,-29.5
7.58,-15.5
7.6,-9.1
7.62,-10.4
7.64,-9.9
7.66,-0.3
7.68,9.1
7.7,9.4
7.72,0.5
7.74,-6.8
7.76,-3.4
7.78,0.2
7.8,-0.2
7.82,-3.5
7.84,5.2
7.86,23.4
7.88,30.7
7.9,23.5
7.92,7
7.94,-9.8
7.96,-17.6
7.98,-16.8
8,-13.1
8.02,-6.8
8.04,3.6
8.06,12.4
8.08,12
8.1,-6.3
8.12,-18.7
8.14,-22.5
8.16,-11.6
8.18,-3
8.2,-4.5
8.22,-10.3
8.24,-7.4
8.26,-3.5
8.28,3.1
8.3,6.7
8.32,11.1
8.34,18.1
8.36,19.6
8.38,11.6
8.4,5.7
8.42,5
8.44,7.6
8.46,7.2
8.48,0.9
8.5,-3.6
8.52,-5.7
8.54,-3
8.56,4.1
8.58,12.1
8.6,10.4
8.62,0.3
8.64,-4.4
8.66,1.3
8.68,11.4
8.7,13.2
8.72,11.2
8.74,8.6
8.76,5.3
8.78,-5.7
8.8,-9.7
8.82,6.6
8.84,16.8
8.86,15.4
8.88,4.2
8.9,-2.2
8.92,3
8.94,20.2
8.96,19.3
8.98,4.4
9,1.3
9.02,2.9
9.04,10.5
9.06,17.3
9.08,15.6
9.1,8.3
9.12,4.5
9.14,-3.5
9.16,-14.5
9.18,-25.2
9.2,-26.8
9.22,-11.6
9.24,-0.3
9.26,3.4
9.28,-3.7
9.3,-16.5
9.32,-18.4
9.34,-16.1
9.36,-6.7
9.38,0.3
9.4,-0.6
9.42,1.9
9.44,7.4
9.46,5.8
9.48,-5.2
9.5,-17.8
9.52,-22.9
9.54,-22.5
9.56,-13.7
9.58,-4
9.6,-1.9
9.62,4.6
9.64,11.3
9.66,10.7
9.68,4.7
9.7,-1.9
9.72,4.8
9.74,11.5
9.76,1.6
9.78,-4.1
9.8,-9.6
9.82,-10.2
9.84,-7.4
9.86,-15.5
9.88,-22.3
9.9,-18.8
9.92,-8.3
9.94,1.3
9.96,1.3
9.98,-10.9
10,-20.3
10.02,-19.3
10.04,-16.6
10.06,-17.3
10.08,-4.6
10.1,15.7
10.12,25.3
10.14,19.9
10.16,7.1
10.18,-5.5
10.2,-5.5
10.22,11.2
10.24,17.3
10.26,9.5
10.28,5.7
10.3,1.4
10.32,5.7
10.34,5.7
10.36,-1.5
10.38,2.5
10.4,17.8
10.42,28.4
10.44,22
10.46,5
10.48,-7.8
10.5,-0.2
10.52,10.9
10.54,8.7
10.56,9.1
10.58,20.7
10.6,29
10.62,12.4
10.64,-11.5
10.66,-27.6
10.68,-25.2
10.7,-6.5
10.72,7.8
10.74,20.7
10.76,27.5
10.78,30.4
10.8,26.8
10.82,9.9
10.84,-11.9
10.86,-26.6
10.88,-29.5
10.9,-31.1
10.92,-25.5
10.94,-11.9
10.96,4.3
10.98,19
11,21.5
11.02,15.5
11.04,5
11.06,1
11.08,-3.4
11.1,-8.1
11.12,-9.5
11.14,-9.8
11.16,-8.6
11.18,13.3
11.2,26.2
11.22,19.6
11.24,12.9
11.26,14.4
11.28,18
11.3,13.8
11.32,5.2
11.34,5
11.36,9.7
11.38,8
11.4,7.9
11.42,8.6
11.44,8.5
11.46,2
11.48,-2.9
11.5,-5.9
11.52,-11.4
11.54,-15.4
11.56,-16.1
11.58,-12.9
11.6,-13.9
11.62,-18.3
11.64,-8.5
11.66,-0.3
11.68,-3.4
11.7,-16.2
11.72,-31.6
11.74,-37.3
11.76,-29
11.78,-16.7
11.8,-4.9
11.82,-5.8
11.84,-11.3
11.86,-16.2
11.88,-26.8
11.9,-33.9
11.92,-31.1
11.94,-18
11.96,-4.3
11.98,1.5
12,-10.2
12.02,-17.5
12.04,-16.2
12.06,-3.5
12.08,8.8
12.1,7.1
12.12,2.7
12.14,3.2
12.16,4.4
12.18,4.5
12.2,3.9
12.22,5.3
12.24,2.7
12.26,1.8
12.28,7.8
12.3,19.8
12.32,30.4
12.34,29.5
12.36,18.1
12.38,10.4
12.4,8.6
12.42,12.2
12.44,4.3
12.46,-8.4
12.48,-16.3
12.5,-23.1
12.52,-13
12.54,2.6
12.56,14.2
12.58,18.9
12.6,24.3
12.62,26.9
12.64,18.6
12.66,10.5
12.68,6.9
12.7,10.1
12.72,19.8
12.74,18.8
12.76,10.6
12.78,5
12.8,3.1
12.82,1.6
12.84,2.3
12.86,-0.7
12.88,-2.6
12.9,-0.2
12.92,8.6
12.94,11.3
12.96,11.4
12.98,10
13,0.9
13.02,-4.1
13.04,0.9
13.06,11.8
13.08,20.3
13.1,25.8
13.12,32.3
13.14,30.9
13.16,20.2
13.18,8.1
13.2,13.3
13.22,28.6
13.24,30.6
13.26,18.8
13.28,1.8
13.3,-1.7
13.32,-1.3
13.34,-8
13.36,-11.4
13.38,-6.8
13.4,3.5
13.42,1.2
13.44,-10.3
13.46,-19.2
13.48,-19.6
13.5,-13.7
13.52,-11.3
13.54,-14.7
13.56,-18.9
13.58,-17.1
13.6,-10.7
13.62,-9.1
13.64,-9.1
13.66,-8.6
13.68,-13.5
13.7,-25.7
13.72,-35.4
13.74,-34.5
13.76,-20.5
13.78,-6.5
13.8,-0.4
13.82,1.5
13.84,0.6
13.86,-8.9
13.88,-20.7
13.9,-22.2
13.92,-18.2
13.94,-12.1
13.96,-12
13.98,-21.1
14,-29
14.02,-32.4
14.04,-32.1
14.06,-32.1
14.08,-33.3
14.1,-25.8
14.12,-10.3
14.14,4
14.16,9.8
14.18,3.4
14.2,-1.6
14.22,-0.1
14.24,8.1
14.26,13.6
14.28,6.8
14.3,-3.2
14.32,-10.2
14.34,-10.4
14.36,-0.8
14.38,10.3
14.4,14.7
14.42,16.6
14.44,11.2
14.46,4.9
14.48,4.6
14.5,11.8
14.52,9.4
14.54,1
14.56,-0.3
14.58,-0.5
14.6,1.1
14.62,7.6
14.64,15.3
14.66,22.3
14.68,25.8
14.7,31.7
14.72,36.2
14.74,28
14.76,11.1
14.78,-0.3
14.8,-8
14.82,-4.5
14.84,2.7
14.86,-8.3
14.88,-18.4
14.9,-12.4
14.92,5.2
14.94,19.9
14.96,20.5
14.98,7.9
15,-4.8
15.02,-10.5
15.04,-12.5
15.06,-12.9
15.08,-12.2
15.1,-5.1
15.12,6.8
15.14,15.1
15.16,16.7
15.18,26.3
15.2,44.2
15.22,51.8
15.24,38.2
15.26,12.1
15.28,-14.3
15.3,-25
15.32,-22.7
15.34,-11.9
15.36,-4.5
15.38,4.6
15.4,4.4
15.42,-1.8
15.44,-6.5
15.46,-8.3
15.48,3
15.5,15.5
15.52,13.9
15.54,3.8
15.56,-1.1
15.58,10.6
15.6,29.9
15.62,49
15.64,63.8
15.66,66.4
15.68,58.1
15.7,37.4
15.72,13.2
15.74,2.1
15.76,5.4
15.78,15
15.8,23.1
15.82,15.5
15.84,-1.3
15.86,-13.5
15.88,-13.5
15.9,-11.2
15.92,-15.5
15.94,-17.9
15.96,-7.8
15.98,5.2
16,6.7
16.02,-10.3
16.04,-14.3
16.06,-5
16.08,14.1
