t,ytt,xtt,xt,x,f
0,-1.5,0,0,0,0
0.02,-0.7,0.694638948,0.006946389,6.95E-05,0.000138928
0.04,0.9,-0.90918985,0.00480088,0.000186937,0.000373873
0.06,1.7,-1.692898201,-0.02122,2.27E-05,4.55E-05
0.08,0.9,-0.85646818,-0.046713664,-0.000656591,-0.001313182
0.1,1.7,-1.60062134,-0.071284559,-0.001836573,-0.003673147
0.12,2.3,-2.115655998,-0.108447332,-0.003633892,-0.007267785
0.14,3,-2.69291803,-0.156533073,-0.006283696,-0.012567393
0.16,3.3,-2.826725227,-0.211729505,-0.009966322,-0.019932644
0.18,3,-2.319830465,-0.263195062,-0.014715568,-0.029431136
0.2,2.7,-1.780375596,-0.304197123,-0.02038949,-0.040778979
0.22,2,-0.820121183,-0.330202091,-0.026733482,-0.053466964
0.24,-0.2,1.634312212,-0.32206018,-0.033256105,-0.066512209
0.26,-2.6,4.243239248,-0.263284666,-0.039109553,-0.078219106
0.28,-4,5.773811366,-0.16311416,-0.043373541,-0.086747083
0.3,-5.6,7.400921808,-0.031366828,-0.045318351,-0.090636702
0.32,-6.1,7.808306992,0.12072546,-0.044424765,-0.08884953
0.34,-6,7.494879775,0.273757328,-0.040479937,-0.080959874
0.36,-6.1,7.264817952,0.421354305,-0.033528821,-0.067057641
0.38,-5.8,6.525698132,0.559259466,-0.023722683,-0.047445366
0.4,-5.5,5.68984799,0.681414927,-0.011315939,-0.022631878
0.42,-5.2,4.771089398,0.786024301,0.003358453,0.006716907
0.44,-4.8,3.685205888,0.870587254,0.019924569,0.039849138
0.46,-4.6,2.748166566,0.934920978,0.037979651,0.075959302
0.48,-4.1,1.477370895,0.977176353,0.057100624,0.114201249
0.5,-3.1,-0.303238293,0.988917679,0.076761565,0.15352313
0.52,-2.6,-1.569602274,0.970189273,0.096352634,0.192705269
0.54,-4.1,-0.817212176,0.946321129,0.115517738,0.231035477
0.56,-5.4,-0.256113726,0.93558787,0.134336828,0.268673657
0.58,-5.6,-0.786775537,0.925158977,0.152944297,0.305888594
0.6,-3.9,-3.186586361,0.885425358,0.17105014,0.34210028
0.62,-1.3,-6.411613665,0.789443358,0.187798827,0.375597655
0.64,0.4,-8.618931125,0.63913791,0.20208464,0.40416928
0.66,1.6,-10.17850026,0.451163596,0.212987655,0.42597531
0.68,2.4,-11.1699626,0.237678968,0.219876081,0.439752161
0.7,2.5,-11.28432971,0.013136045,0.222384231,0.444768462
0.72,3.4,-12.01488394,-0.219856092,0.22031703,0.440634061
0.74,5.2,-13.44480097,-0.474452941,0.21337394,0.42674788
0.76,6.3,-13.95869453,-0.748487896,0.201144532,0.402289063
0.78,5.6,-12.46378997,-1.012712741,0.183532525,0.367065051
0.8,3.7,-9.593947868,-1.233290119,0.161072497,0.322144993
0.82,1.5,-6.297534487,-1.392204943,0.134817546,0.269635092
0.84,-1.2,-2.430929397,-1.479489581,0.106100601,0.212201202
0.86,-2.6,0.154795394,-1.502250922,0.076283196,0.152566392
0.88,-2.9,1.627172392,-1.484431244,0.046416374,0.092832748
0.9,-2.4,2.269161381,-1.445467906,0.017117383,0.034234765
0.92,-1.3,2.275383419,-1.400022458,-0.011337521,-0.022675042
0.94,0.3,1.749731998,-1.359771304,-0.038935459,-0.077870917
0.96,1.5,1.597531036,-1.326298673,-0.065796158,-0.131592317
0.98,1.5,2.612244487,-1.284200918,-0.091901154,-0.183802309
1,2.1,2.983025975,-1.228248214,-0.117025646,-0.234051291
1.02,2.9,3.105819686,-1.167359757,-0.140981725,-0.281963451
1.04,1.3,5.560644377,-1.080695116,-0.163462274,-0.326924548
1.06,-0.8,8.406134887,-0.941027324,-0.183679498,-0.367358997
1.08,-1.7,9.907797872,-0.757887996,-0.200668652,-0.401337303
1.1,-0.9,9.555985576,-0.563250162,-0.213880033,-0.427760066
1.12,-0.5,9.453995739,-0.373150348,-0.223244038,-0.446488077
1.14,0.2,8.906918445,-0.189541207,-0.228870954,-0.457741908
1.16,0.7,8.422827485,-0.016243747,-0.230928803,-0.461857607
1.18,0.3,8.703476452,0.155019292,-0.229541048,-0.459082096
1.2,-0.3,9.044106663,0.332495123,-0.224665904,-0.449331808
1.22,-1,9.339697379,0.516333164,-0.216177621,-0.432355242
1.24,-1.3,9.089782878,0.700627966,-0.20400801,-0.408016019
1.26,-2.2,9.294702295,0.884472818,-0.188157002,-0.376314004
1.28,-4.1,10.34477789,1.08086762,-0.168503597,-0.337007195
1.3,-5.3,10.53025071,1.289617906,-0.144798742,-0.289597484
1.32,-4.4,8.465405448,1.479574467,-0.117106818,-0.234213637
