x,f,
0,0,
1,2,
2,4,
3,6,
4,8,
5,10,
6,12,
7,14,
8,16,
9,18,
10,20,
11,22,
12,24,
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,80.2,
42,80.4,
43,80.6,
44,80.8,
45,81,
46,81.2,
47,81.4,
48,81.6,
49,81.8,
50,82,
51,82.2,
52,82.4,
53,82.6,
54,82.8,
55,83,
56,83.2,
57,83.4,
58,83.6,
59,83.8,
60,84,
61,84.2,
62,84.4,
63,84.6,
64,84.8,
65,85,
66,85.2,
67,85.4,
68,85.6,
69,85.8,
70,86,
71,86.2,
72,86.4,
73,86.6,
74,86.8,
75,87,
76,87.2,
77,87.4,
78,87.6,
79,87.8,
80,88,
81,88.2,
82,88.4,
83,88.6,
84,88.8,
85,89,
86,89.2,
87,89.4,
88,89.6,
89,89.8,
90,90,
91,90.2,
92,90.4,
93,90.6,
94,90.8,
95,91,
96,91.2,
97,91.4,
98,91.6,
99,91.8,
100,92,
100,92,
98,88,
96,84,
94,80,
92,76,
90,72,
88,68,
86,64,
84,60,
82,56,
80,52,
78,48,
76,44,
74,40,
72,36,
70,32,
68,28,
66,24,
64,20,
62,16,
60,12,
58,8,
56,4,
54,0,
52,-4,
50,-8,
48,-12,
46,-16,
44,-20,
42,-24,
40,-28,
38,-32,
36,-36,
34,-40,
32,-44,
30,-48,
28,-52,
26,-56,
24,-60,
22,-64,
20,-68,
18,-72,
16,-76,
14,-80,
12,-84,
10,-86,
8,-86.4,
6,-86.8,
4,-87.2,
2,-87.6,
0,-88,
-2,-88.4,
-4,-88.8,
-6,-89.2,
-8,-89.6,
-10,-90,
-12,-90.4,
-14,-90.8,
-16,-91.2,
-18,-91.6,
-20,-92,
-22,-92.4,
-24,-92.8,
-26,-93.2,
-28,-93.6,
-30,-94,
-32,-94.4,
-34,-94.8,
-36,-95.2,
-38,-95.6,
-40,-96,
-42,-96.4,
-44,-96.8,
-46,-97.2,
-48,-97.6,
-50,-98,
-52,-98.4,
-54,-98.8,
-56,-99.2,
-58,-99.6,
-60,-100,
-62,-100.4,
-64,-100.8,
-66,-101.2,
-68,-101.6,
-70,-102,
-72,-102.4,
-74,-102.8,
-76,-103.2,
-78,-103.6,
-80,-104,
-82,-104.4,
-84,-104.8,
-86,-105.2,
-88,-105.6,
-90,-106,
-92,-106.4,
-94,-106.8,
-96,-107.2,
-98,-107.6,
-100,-108,
-100,-108,
-97.5,-103,
-95,-98,
-92.5,-93,
-90,-88,
-87.5,-83,
-85,-78,
-82.5,-73,
-80,-68,
-77.5,-63,
-75,-58,
-72.5,-53,
-70,-48,
-67.5,-43,
-65,-38,
-62.5,-33,
-60,-28,
-57.5,-23,
-55,-18,
-52.5,-13,
-50,-8,
-47.5,-3,
-45,2,
-42.5,7,
-40,12,
-37.5,17,
-35,22,
-32.5,27,
-30,32,
-27.5,37,
-25,42,
-22.5,47,
-20,52,
-17.5,57,
-15,62,
-12.5,67,
-10,70,
-7.5,70.5,
-5,71,
-2.5,71.5,
0,72,
2.5,72.5,
5,73,
7.5,73.5,
10,74,
12.5,74.5,
15,75,
17.5,75.5,
20,76,
22.5,76.5,
25,77,
27.5,77.5,
30,78,
32.5,78.5,
35,79,
37.5,79.5,
40,80,
42.5,80.5,
45,81,
47.5,81.5,
50,82,
52.5,82.5,
55,83,
57.5,83.5,
60,84,
62.5,84.5,
65,85,
67.5,85.5,
70,86,
72.5,86.5,
75,87,
77.5,87.5,
80,88,
82.5,88.5,
85,89,
87.5,89.5,
90,90,
92.5,90.5,
95,91,
97.5,91.5,
100,92,
102.5,92.5,
105,93,
107.5,93.5,
110,94,
112.5,94.5,
115,95,
117.5,95.5,
120,96,
122.5,96.5,
125,97,
127.5,97.5,
130,98,
132.5,98.5,
135,99,
137.5,99.5,
140,100,
142.5,100.5,
145,101,
147.5,101.5,
150,102,
150,102,
147.5,97,
145,92,
142.5,87,
140,82,
137.5,77,
135,72,
132.5,67,
130,62,
127.5,57,
125,52,
122.5,47,
120,42,
117.5,37,
115,32,
112.5,27,
110,22,
107.5,17,
105,12,
102.5,7,
100,2,
97.5,-3,
95,-8,
92.5,-13,
90,-18,
87.5,-23,
85,-28,
82.5,-33,
80,-38,
77.5,-43,
75,-48,
72.5,-53,
70,-58,
67.5,-63,
65,-68,
62.5,-73,
60,-76,
57.5,-76.5,
55,-77,
52.5,-77.5,
50,-78,
47.5,-78.5,
45,-79,
42.5,-79.5,
40,-80,
37.5,-80.5,
35,-81,
32.5,-81.5,
30,-82,
27.5,-82.5,
25,-83,
22.5,-83.5,
20,-84,
17.5,-84.5,
15,-85,
12.5,-85.5,
10,-86,
7.5,-86.5,
5,-87,
2.5,-87.5,
0,-88,
-2.5,-88.5,
-5,-89,
-7.5,-89.5,
-10,-90,
-12.5,-90.5,
-15,-91,
-17.5,-91.5,
-20,-92,
-22.5,-92.5,
-25,-93,
-27.5,-93.5,
-30,-94,
-32.5,-94.5,
-35,-95,
-37.5,-95.5,
-40,-96,
-42.5,-96.5,
-45,-97,
-47.5,-97.5,
-50,-98,
-52.5,-98.5,
-55,-99,
-57.5,-99.5,
-60,-100,
-62.5,-100.5,
-65,-101,
-67.5,-101.5,
-70,-102,
-72.5,-102.5,
-75,-103,
-77.5,-103.5,
-80,-104,
-82.5,-104.5,
-85,-105,
-87.5,-105.5,
-90,-106,
-92.5,-106.5,
-95,-107,
-97.5,-107.5,
-100,-108,
-100,-108,
-98,-104,
-96,-100,
-94,-96,
-92,-92,
-90,-88,
-88,-84,
-86,-80,
-84,-76,
-82,-72,
-80,-68,
-78,-64,
-76,-60,
-74,-56,
-72,-52,
-70,-48,
-68,-44,
-66,-40,
-64,-36,
-62,-32,
-60,-28,
-58,-24,
-56,-20,
-54,-16,
-52,-12,
-50,-8,
-48,-4,
-46,0,
-44,4,
-42,8,
-40,12,
-38,16,
-36,20,
-34,24,
-32,28,
-30,32,
-28,36,
-26,40,
-24,44,
-22,48,
-20,52,
-18,56,
-16,60,
-14,64,
-12,68,
-10,70,
-8,70.4,
-6,70.8,
-4,71.2,
-2,71.6,
0,72,
2,72.4,
4,72.8,
6,73.2,
8,73.6,
10,74,
12,74.4,
14,74.8,
16,75.2,
18,75.6,
20,76,
22,76.4,
24,76.8,
26,77.2,
28,77.6,
30,78,
32,78.4,
34,78.8,
36,79.2,
38,79.6,
40,80,
42,80.4,
44,80.8,
46,81.2,
48,81.6,
50,82,
52,82.4,
54,82.8,
56,83.2,
58,83.6,
60,84,
62,84.4,
64,84.8,
66,85.2,
68,85.6,
70,86,
72,86.4,
74,86.8,
76,87.2,
78,87.6,
80,88,
82,88.4,
84,88.8,
86,89.2,
88,89.6,
90,90,
92,90.4,
94,90.8,
96,91.2,
98,91.6,
100,92,
100,92,
99.9,91.80000000000001,
99.8,91.6,
99.7,91.4,
99.6,91.19999999999999,
99.5,91,
99.4,90.80000000000001,
99.3,90.6,
99.2,90.4,
99.1,90.19999999999999,
99,90,
98.9,89.80000000000001,
98.8,89.6,
98.7,89.4,
98.6,89.19999999999999,
98.5,89,
98.4,88.80000000000001,
98.3,88.6,
98.2,88.4,
98.1,88.19999999999999,
98,88,
97.9,87.80000000000001,
97.8,87.6,
97.7,87.4,
97.6,87.19999999999999,
97.5,87,
97.4,86.80000000000001,
97.3,86.6,
97.2,86.4,
97.1,86.19999999999999,
97,86,
96.9,85.80000000000001,
96.8,85.6,
96.7,85.4,
96.6,85.19999999999999,
96.5,85,
96.4,84.80000000000001,
96.3,84.6,
96.2,84.4,
96.1,84.19999999999999,
96,84,
95.9,83.80000000000001,
95.8,83.6,
95.7,83.4,
95.6,83.19999999999999,
95.5,83,
95.4,82.80000000000001,
95.3,82.6,
95.2,82.4,
95.1,82.19999999999999,
95,82,
94.9,81.80000000000001,
94.8,81.6,
94.7,81.4,
94.6,81.19999999999999,
94.5,81,
94.4,80.80000000000001,
94.3,80.6,
94.2,80.4,
94.1,80.19999999999999,
94,80,
93.9,79.80000000000001,
93.8,79.6,
93.7,79.4,
93.6,79.19999999999999,
93.5,79,
93.4,78.80000000000001,
93.3,78.6,
93.2,78.4,
93.1,78.19999999999999,
93,78,
92.9,77.80000000000001,
92.8,77.6,
92.7,77.4,
92.6,77.19999999999999,
92.5,77,
92.4,76.80000000000001,
92.3,76.6,
92.2,76.4,
92.1,76.19999999999999,
92,76,
91.9,75.80000000000001,
91.8,75.6,
91.7,75.4,
91.6,75.19999999999999,
91.5,75,
91.4,74.80000000000001,
91.3,74.6,
91.2,74.4,
91.1,74.19999999999999,
91,74,
90.9,73.80000000000001,
90.8,73.6,
90.7,73.4,
90.6,73.19999999999999,
90.5,73,
90.4,72.80000000000001,
90.3,72.6,
90.2,72.4,
90.1,72.19999999999999,
90,72,
90,72,
91.1,74.19999999999999,
92.2,76.4,
93.3,78.6,
94.4,80.80000000000001,
95.5,83,
96.6,85.19999999999999,
97.7,87.4,
98.8,89.6,
99.9,91.80000000000001,
101,92.2,
102.1,92.42,
103.2,92.64,
104.3,92.86,
105.4,93.08,
106.5,93.3,
107.6,93.52,
108.7,93.74000000000001,
109.8,93.96000000000001,
110.9,94.18,
112,94.4,
113.1,94.62,
114.2,94.84,
115.3,95.06,
116.4,95.28,
117.5,95.5,
118.6,95.72,
119.7,95.94,
120.8,96.16,
121.9,96.38,
123,96.6,
124.1,96.82,
125.2,97.04,
126.3,97.26,
127.4,97.48,
128.5,97.7,
129.6,97.92,
130.7,98.14,
131.8,98.36,
132.9,98.58,
134,98.8,
135.1,99.02,
136.2,99.24,
137.3,99.46000000000001,
138.4,99.68,
139.5,99.9,
140.6,100.12,
141.7,100.34,
142.8,100.56,
143.9,100.78,
145,101,
146.1,101.22,
147.2,101.44,
148.3,101.66,
149.4,101.88,
150.5,102.1,
151.6,102.32,
152.7,102.53999999999999,
153.8,102.76,
154.9,102.98,
156,103.2,
157.1,103.42,
158.2,103.64,
159.3,103.86,
160.4,104.08,
161.5,104.3,
162.6,104.52,
163.7,104.74,
164.8,104.96000000000001,
165.9,105.18,
167,105.4,
