x,f,
0,0,
1,2,
2,4,
3,6,
4,8,
5,10,
6,12,
7,14,
8,16,
9,18,
10,20,
11,22,
12,24,
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,80.2,
42,80.4,
43,80.6,
44,80.8,
45,81,
46,81.2,
47,81.4,
48,81.6,
49,81.8,
50,82,
51,82.2,
52,82.4,
53,82.6,
54,82.8,
55,83,
56,83.2,
57,83.4,
58,83.6,
59,83.8,
60,84,
61,84.2,
62,84.4,
63,84.6,
64,84.8,
65,85,
66,85.2,
67,85.4,
68,85.6,
69,85.8,
70,86,
71,86.2,
72,86.4,
73,86.6,
74,86.8,
75,87,
76,87.2,
77,87.4,
78,87.6,
79,87.8,
80,88,
81,88.2,
82,88.4,
83,88.6,
84,88.8,
85,89,
86,89.2,
87,89.4,
88,89.6,
89,89.8,
90,90,
91,90.2,
92,90.4,
93,90.6,
94,90.8,
95,91,
96,91.2,
97,91.4,
98,91.6,
99,91.8,
100,92,
100,92,
98,91.6,
96,91.2,
94,90.8,
92,90.4,
90,90,
88,89.6,
86,89.2,
84,88.8,
82,88.4,
80,88,
78,87.6,
76,87.2,
74,86.8,
72,86.4,
70,86,
68,85.6,
66,85.2,
64,84.8,
62,84.4,
60,84,
58,83.6,
56,83.2,
54,82.8,
52,82.4,
50,82,
48,81.6,
46,81.2,
44,80.8,
42,80.4,
40,80,
38,76,
36,72,
34,68,
32,64,
30,60,
28,56,
26,52,
24,48,
22,44,
20,40,
18,36,
16,32,
14,28,
12,24,
10,20,
8,16,
6,12,
4,8,
2,4,
0,0,
-2,-4,
-4,-8,
-6,-12,
-8,-16,
-10,-20,
-12,-24,
-14,-28,
-16,-32,
-18,-36,
-20,-40,
-22,-44,
-24,-48,
-26,-52,
-28,-56,
-30,-60,
-32,-64,
-34,-68,
-36,-72,
-38,-76,
-40,-80,
-42,-84,
-44,-88,
-46,-92,
-48,-96,
-50,-98,
-52,-98.4,
-54,-98.8,
-56,-99.2,
-58,-99.6,
-60,-100,
-62,-100.4,
-64,-100.8,
-66,-101.2,
-68,-101.6,
-70,-102,
-72,-102.4,
-74,-102.8,
-76,-103.2,
-78,-103.6,
-80,-104,
-82,-104.4,
-84,-104.8,
-86,-105.2,
-88,-105.6,
-90,-106,
-92,-106.4,
-94,-106.8,
-96,-107.2,
-98,-107.6,
-100,-108,
-100,-108,
-97.5,-107.5,
-95,-107,
-92.5,-106.5,
-90,-106,
-87.5,-105.5,
-85,-105,
-82.5,-104.5,
-80,-104,
-77.5,-103.5,
-75,-103,
-72.5,-102.5,
-70,-102,
-67.5,-101.5,
-65,-101,
-62.5,-100.5,
-60,-100,
-57.5,-99.5,
-55,-99,
-52.5,-98.5,
-50,-98,
-47.5,-95,
-45,-90,
-42.5,-85,
-40,-80,
-37.5,-75,
-35,-70,
-32.5,-65,
-30,-60,
-27.5,-55,
-25,-50,
-22.5,-45,
-20,-40,
-17.5,-35,
-15,-30,
-12.5,-25,
-10,-20,
-7.5,-15,
-5,-10,
-2.5,-5,
0,0,
2.5,5,
5,10,
7.5,15,
10,20,
12.5,25,
15,30,
17.5,35,
20,40,
22.5,45,
25,50,
27.5,55,
30,60,
32.5,65,
35,70,
37.5,75,
40,80,
42.5,80.5,
45,81,
47.5,81.5,
50,82,
52.5,82.5,
55,83,
57.5,83.5,
60,84,
62.5,84.5,
65,85,
67.5,85.5,
70,86,
72.5,86.5,
75,87,
77.5,87.5,
80,88,
82.5,88.5,
85,89,
87.5,89.5,
90,90,
92.5,90.5,
95,91,
97.5,91.5,
100,92,
102.5,92.5,
105,93,
107.5,93.5,
110,94,
112.5,94.5,
115,95,
117.5,95.5,
120,96,
122.5,96.5,
125,97,
127.5,97.5,
130,98,
132.5,98.5,
135,99,
137.5,99.5,
140,100,
142.5,100.5,
145,101,
147.5,101.5,
150,102,
150,102,
147.5,101.5,
145,101,
142.5,100.5,
140,100,
137.5,99.5,
135,99,
132.5,98.5,
130,98,
127.5,97.5,
125,97,
122.5,96.5,
120,96,
117.5,95.5,
115,95,
112.5,94.5,
110,94,
107.5,93.5,
105,93,
102.5,92.5,
100,92,
97.5,91.5,
95,91,
92.5,90.5,
90,90,
87.5,89.5,
85,89,
82.5,88.5,
80,88,
77.5,87.5,
75,87,
72.5,86.5,
70,86,
67.5,85.5,
65,85,
62.5,84.5,
60,84,
57.5,83.5,
55,83,
52.5,82.5,
50,82,
47.5,81.5,
45,81,
42.5,80.5,
40,80,
37.5,75,
35,70,
32.5,65,
30,60,
27.5,55,
25,50,
22.5,45,
20,40,
17.5,35,
15,30,
12.5,25,
10,20,
7.5,15,
5,10,
2.5,5,
0,0,
-2.5,-5,
-5,-10,
-7.5,-15,
-10,-20,
-12.5,-25,
-15,-30,
-17.5,-35,
-20,-40,
-22.5,-45,
-25,-50,
-27.5,-55,
-30,-60,
-32.5,-65,
-35,-70,
-37.5,-75,
-40,-80,
-42.5,-85,
-45,-90,
-47.5,-95,
-50,-98,
-52.5,-98.5,
-55,-99,
-57.5,-99.5,
-60,-100,
-62.5,-100.5,
-65,-101,
-67.5,-101.5,
-70,-102,
-72.5,-102.5,
-75,-103,
-77.5,-103.5,
-80,-104,
-82.5,-104.5,
-85,-105,
-87.5,-105.5,
-90,-106,
-92.5,-106.5,
-95,-107,
-97.5,-107.5,
-100,-108,
-100,-108,
-98,-107.6,
-96,-107.2,
-94,-106.8,
-92,-106.4,
-90,-106,
-88,-105.6,
-86,-105.2,
-84,-104.8,
-82,-104.4,
-80,-104,
-78,-103.6,
-76,-103.2,
-74,-102.8,
-72,-102.4,
-70,-102,
-68,-101.6,
-66,-101.2,
-64,-100.8,
-62,-100.4,
-60,-100,
-58,-99.6,
-56,-99.2,
-54,-98.8,
-52,-98.4,
-50,-98,
-48,-96,
-46,-92,
-44,-88,
-42,-84,
-40,-80,
-38,-76,
-36,-72,
-34,-68,
-32,-64,
-30,-60,
-28,-56,
-26,-52,
-24,-48,
-22,-44,
-20,-40,
-18,-36,
-16,-32,
-14,-28,
-12,-24,
-10,-20,
-8,-16,
-6,-12,
-4,-8,
-2,-4,
0,0,
2,4,
4,8,
6,12,
8,16,
10,20,
12,24,
14,28,
16,32,
18,36,
20,40,
22,44,
24,48,
26,52,
28,56,
30,60,
32,64,
34,68,
36,72,
38,76,
40,80,
42,80.4,
44,80.8,
46,81.2,
48,81.6,
50,82,
52,82.4,
54,82.8,
56,83.2,
58,83.6,
60,84,
62,84.4,
64,84.8,
66,85.2,
68,85.6,
70,86,
72,86.4,
74,86.8,
76,87.2,
78,87.6,
80,88,
82,88.4,
84,88.8,
86,89.2,
88,89.6,
90,90,
92,90.4,
94,90.8,
96,91.2,
98,91.6,
100,92,
100,92,
99.9,91.98,
99.8,91.96000000000001,
99.7,91.94,
99.6,91.92,
99.5,91.9,
99.4,91.88,
99.3,91.86,
99.2,91.84,
99.1,91.82,
99,91.8,
98.9,91.78,
98.8,91.76,
98.7,91.74000000000001,
98.6,91.72,
98.5,91.7,
98.4,91.68,
98.3,91.66,
98.2,91.64,
98.1,91.62,
98,91.6,
97.9,91.58,
97.8,91.56,
97.7,91.54,
97.6,91.52,
97.5,91.5,
97.4,91.48,
97.3,91.46000000000001,
97.2,91.44,
97.1,91.42,
97,91.4,
96.9,91.38,
96.8,91.36,
96.7,91.34,
96.6,91.32,
96.5,91.3,
96.4,91.28,
96.3,91.26,
96.2,91.24000000000001,
96.1,91.22,
96,91.2,
95.9,91.18,
95.8,91.16,
95.7,91.14,
95.6,91.12,
95.5,91.1,
95.4,91.08,
95.3,91.06,
95.2,91.04,
95.1,91.02,
95,91,
94.9,90.98,
94.8,90.96000000000001,
94.7,90.94,
94.6,90.92,
94.5,90.9,
94.4,90.88,
94.3,90.86,
94.2,90.84,
94.1,90.82,
94,90.8,
93.9,90.78,
93.8,90.76,
93.7,90.74000000000001,
93.6,90.72,
93.5,90.7,
93.4,90.68,
93.3,90.66,
93.2,90.64,
93.1,90.62,
93,90.6,
92.9,90.58,
92.8,90.56,
92.7,90.54,
92.6,90.52,
92.5,90.5,
92.4,90.48,
92.3,90.46000000000001,
92.2,90.44,
92.1,90.42,
92,90.4,
91.9,90.38,
91.8,90.36,
91.7,90.34,
91.6,90.32,
91.5,90.3,
91.4,90.28,
91.3,90.26,
91.2,90.24000000000001,
91.1,90.22,
91,90.2,
90.9,90.18,
90.8,90.16,
90.7,90.14,
90.6,90.12,
90.5,90.1,
90.4,90.08,
90.3,90.06,
90.2,90.04,
90.1,90.02,
90,90,
90,90,
91.1,90.22,
92.2,90.44,
93.3,90.66,
94.4,90.88,
95.5,91.1,
96.6,91.32,
97.7,91.54,
98.8,91.76,
99.9,91.98,
101,92.2,
102.1,92.42,
103.2,92.64,
104.3,92.86,
105.4,93.08,
106.5,93.3,
107.6,93.52,
108.7,93.74000000000001,
109.8,93.96000000000001,
110.9,94.18,
112,94.4,
113.1,94.62,
114.2,94.84,
115.3,95.06,
116.4,95.28,
117.5,95.5,
118.6,95.72,
119.7,95.94,
120.8,96.16,
121.9,96.38,
123,96.6,
124.1,96.82,
125.2,97.04,
126.3,97.26,
127.4,97.48,
128.5,97.7,
129.6,97.92,
130.7,98.14,
131.8,98.36,
132.9,98.58,
134,98.8,
135.1,99.02,
136.2,99.24,
137.3,99.46000000000001,
138.4,99.68,
139.5,99.9,
140.6,100.12,
141.7,100.34,
142.8,100.56,
143.9,100.78,
145,101,
146.1,101.22,
147.2,101.44,
148.3,101.66,
149.4,101.88,
150.5,102.1,
151.6,102.32,
152.7,102.53999999999999,
153.8,102.76,
154.9,102.98,
156,103.2,
157.1,103.42,
158.2,103.64,
159.3,103.86,
160.4,104.08,
161.5,104.3,
162.6,104.52,
163.7,104.74,
164.8,104.96000000000001,
165.9,105.18,
167,105.4,
168.1,105.62,
169.2,105.84,
170.3,106.06,
171.4,106.28,
172.5,106.5,
173.6,106.72,
174.7,106.94,
175.8,107.16,
176.9,107.38,
178,107.6,
179.1,107.82,
180.2,108.03999999999999,
181.3,108.26,
182.4,108.48,
183.5,108.7,
