x,f,
0,0,
1,2,
2,4,
3,6,
4,8,
5,10,
6,12,
7,14,
8,16,
9,18,
10,20,
11,22,
12,24,
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,81,
42,82,
43,83,
44,84,
45,85,
46,86,
47,87,
48,88,
49,89,
50,90,
51,91,
52,92,
53,93,
54,94,
55,95,
56,96,
57,97,
58,98,
59,99,
60,100,
61,100.2,
62,100.4,
63,100.6,
64,100.8,
65,101,
66,101.2,
67,101.4,
68,101.6,
69,101.8,
70,102,
71,102.2,
72,102.4,
73,102.6,
74,102.8,
75,103,
76,103.2,
77,103.4,
78,103.6,
79,103.8,
80,104,
81,104.2,
82,104.4,
83,104.6,
84,104.8,
85,105,
86,105.2,
87,105.4,
88,105.6,
89,105.8,
90,106,
91,106.2,
92,106.4,
93,106.6,
94,106.8,
95,107,
96,107.2,
97,107.4,
98,107.6,
99,107.8,
100,108,
100,108,
98,107.6,
96,107.2,
94,106.8,
92,106.4,
90,106,
88,105.6,
86,105.2,
84,104.8,
82,104.4,
80,104,
78,103.6,
76,103.2,
74,102.8,
72,102.4,
70,102,
68,101.6,
66,101.2,
64,100.8,
62,100.4,
60,100,
58,98,
56,96,
54,94,
52,92,
50,90,
48,88,
46,86,
44,84,
42,82,
40,80,
38,76,
36,72,
34,68,
32,64,
30,60,
28,56,
26,52,
24,48,
22,44,
20,40,
18,36,
16,32,
14,28,
12,24,
10,20,
8,16,
6,12,
4,8,
2,4,
0,0,
-2,-4,
-4,-8,
-6,-12,
-8,-16,
-10,-20,
-12,-24,
-14,-28,
-16,-32,
-18,-36,
-20,-40,
-22,-44,
-24,-48,
-26,-52,
-28,-56,
-30,-60,
-32,-64,
-34,-68,
-36,-72,
-38,-76,
-40,-80,
-42,-84,
-44,-88,
-46,-92,
-48,-96,
-50,-100,
-52,-104,
-54,-108,
-56,-112,
-58,-116,
-60,-120,
-62,-124,
-64,-124.8,
-66,-125.2,
-68,-125.6,
-70,-126,
-72,-126.4,
-74,-126.8,
-76,-127.2,
-78,-127.6,
-80,-128,
-82,-128.4,
-84,-128.8,
-86,-129.2,
-88,-129.6,
-90,-130,
-92,-130.4,
-94,-130.8,
-96,-131.2,
-98,-131.6,
-100,-132,
-100,-132,
-97.5,-131.5,
-95,-131,
-92.5,-130.5,
-90,-130,
-87.5,-129.5,
-85,-129,
-82.5,-128.5,
-80,-128,
-77.5,-127.5,
-75,-127,
-72.5,-126.5,
-70,-126,
-67.5,-125.5,
-65,-125,
-62.5,-124.5,
-60,-120,
-57.5,-115,
-55,-110,
-52.5,-105,
-50,-100,
-47.5,-95,
-45,-90,
-42.5,-85,
-40,-80,
-37.5,-75,
-35,-70,
-32.5,-65,
-30,-60,
-27.5,-55,
-25,-50,
-22.5,-45,
-20,-40,
-17.5,-35,
-15,-30,
-12.5,-25,
-10,-20,
-7.5,-15,
-5,-10,
-2.5,-5,
0,0,
2.5,5,
5,10,
7.5,15,
10,20,
12.5,25,
15,30,
17.5,35,
20,40,
22.5,45,
25,50,
27.5,55,
30,60,
32.5,65,
35,70,
37.5,75,
40,80,
42.5,82.5,
45,85,
47.5,87.5,
50,90,
52.5,92.5,
55,95,
57.5,97.5,
60,100,
62.5,100.5,
65,101,
67.5,101.5,
70,102,
72.5,102.5,
75,103,
77.5,103.5,
80,104,
82.5,104.5,
85,105,
87.5,105.5,
90,106,
92.5,106.5,
95,107,
97.5,107.5,
100,108,
102.5,108.5,
105,109,
107.5,109.5,
110,110,
112.5,110.5,
115,111,
117.5,111.5,
120,112,
122.5,112.5,
125,113,
127.5,113.5,
130,114,
132.5,114.5,
135,115,
137.5,115.5,
140,116,
142.5,116.5,
145,117,
147.5,117.5,
150,118,
150,118,
147.5,117.5,
145,117,
142.5,116.5,
140,116,
137.5,115.5,
135,115,
132.5,114.5,
130,114,
127.5,113.5,
125,113,
122.5,112.5,
120,112,
117.5,111.5,
115,111,
112.5,110.5,
110,110,
107.5,109.5,
105,109,
102.5,108.5,
100,108,
97.5,107.5,
95,107,
92.5,106.5,
90,106,
87.5,105.5,
85,105,
82.5,104.5,
80,104,
77.5,103.5,
75,103,
72.5,102.5,
70,102,
67.5,101.5,
65,101,
62.5,100.5,
60,100,
57.5,97.5,
55,95,
52.5,92.5,
50,90,
47.5,87.5,
45,85,
42.5,82.5,
40,80,
37.5,75,
35,70,
32.5,65,
30,60,
27.5,55,
25,50,
22.5,45,
20,40,
17.5,35,
15,30,
12.5,25,
10,20,
7.5,15,
5,10,
2.5,5,
0,0,
-2.5,-5,
-5,-10,
-7.5,-15,
-10,-20,
-12.5,-25,
-15,-30,
-17.5,-35,
-20,-40,
-22.5,-45,
-25,-50,
-27.5,-55,
-30,-60,
-32.5,-65,
-35,-70,
-37.5,-75,
-40,-80,
-42.5,-85,
-45,-90,
-47.5,-95,
-50,-100,
-52.5,-105,
-55,-110,
-57.5,-115,
-60,-120,
-62.5,-124.5,
-65,-125,
-67.5,-125.5,
-70,-126,
-72.5,-126.5,
-75,-127,
-77.5,-127.5,
-80,-128,
-82.5,-128.5,
-85,-129,
-87.5,-129.5,
-90,-130,
-92.5,-130.5,
-95,-131,
-97.5,-131.5,
-100,-132,
-100,-132,
-98,-131.6,
-96,-131.2,
-94,-130.8,
-92,-130.4,
-90,-130,
-88,-129.6,
-86,-129.2,
-84,-128.8,
-82,-128.4,
-80,-128,
-78,-127.6,
-76,-127.2,
-74,-126.8,
-72,-126.4,
-70,-126,
-68,-125.6,
-66,-125.2,
-64,-124.8,
-62,-124,
-60,-120,
-58,-116,
-56,-112,
-54,-108,
-52,-104,
-50,-100,
-48,-96,
-46,-92,
-44,-88,
-42,-84,
-40,-80,
-38,-76,
-36,-72,
-34,-68,
-32,-64,
-30,-60,
-28,-56,
-26,-52,
-24,-48,
-22,-44,
-20,-40,
-18,-36,
-16,-32,
-14,-28,
-12,-24,
-10,-20,
-8,-16,
-6,-12,
-4,-8,
-2,-4,
0,0,
2,4,
4,8,
6,12,
8,16,
10,20,
12,24,
14,28,
16,32,
18,36,
20,40,
22,44,
24,48,
26,52,
28,56,
30,60,
32,64,
34,68,
36,72,
38,76,
40,80,
42,82,
44,84,
46,86,
48,88,
50,90,
52,92,
54,94,
56,96,
58,98,
60,100,
62,100.4,
64,100.8,
66,101.2,
68,101.6,
70,102,
72,102.4,
74,102.8,
76,103.2,
78,103.6,
80,104,
82,104.4,
84,104.8,
86,105.2,
88,105.6,
90,106,
92,106.4,
94,106.8,
96,107.2,
98,107.6,
100,108,
100,108,
99.9,107.98,
99.8,107.96,
99.7,107.94,
99.6,107.92,
99.5,107.9,
99.4,107.88,
99.3,107.86,
99.2,107.84,
99.1,107.82,
99,107.8,
98.9,107.78,
98.8,107.76,
98.7,107.74,
98.6,107.72,
98.5,107.7,
98.4,107.68,
98.3,107.66,
98.2,107.64,
98.1,107.62,
98,107.6,
97.9,107.58,
97.8,107.56,
97.7,107.54,
97.6,107.52,
97.5,107.5,
97.4,107.48,
97.3,107.46,
97.2,107.44,
97.1,107.42,
97,107.4,
96.9,107.38,
96.8,107.36,
96.7,107.34,
96.6,107.32,
96.5,107.3,
96.4,107.28,
96.3,107.26,
96.2,107.24,
96.1,107.22,
96,107.2,
95.9,107.18,
95.8,107.16,
95.7,107.14,
95.6,107.12,
95.5,107.1,
95.4,107.08,
95.3,107.06,
95.2,107.04,
95.1,107.02,
95,107,
94.9,106.98,
94.8,106.96,
94.7,106.94,
94.6,106.92,
94.5,106.9,
94.4,106.88,
94.3,106.86,
94.2,106.84,
94.1,106.82,
94,106.8,
93.9,106.78,
93.8,106.76,
93.7,106.74,
93.6,106.72,
93.5,106.7,
93.4,106.68,
93.3,106.66,
93.2,106.64,
93.1,106.62,
93,106.6,
92.9,106.58,
92.8,106.56,
92.7,106.54,
92.6,106.52,
92.5,106.5,
92.4,106.48,
92.3,106.46,
92.2,106.44,
92.1,106.42,
92,106.4,
91.9,106.38,
91.8,106.36,
91.7,106.34,
91.6,106.32,
91.5,106.3,
91.4,106.28,
91.3,106.26,
91.2,106.24,
91.1,106.22,
91,106.2,
90.9,106.18,
90.8,106.16,
90.7,106.14,
90.6,106.12,
90.5,106.1,
90.4,106.08,
90.3,106.06,
90.2,106.04,
90.1,106.02,
90,106,
90,106,
91.1,106.22,
92.2,106.44,
93.3,106.66,
94.4,106.88,
95.5,107.1,
96.6,107.32,
97.7,107.54,
98.8,107.76,
99.9,107.98,
101,108.2,
102.1,108.42,
103.2,108.64,
104.3,108.86,
105.4,109.08,
106.5,109.3,
107.6,109.52,
108.7,109.74000000000001,
109.8,109.96000000000001,
110.9,110.18,
112,110.4,
113.1,110.62,
114.2,110.84,
115.3,111.06,
116.4,111.28,
117.5,111.5,
118.6,111.72,
119.7,111.94,
120.8,112.16,
121.9,112.38,
123,112.6,
124.1,112.82,
125.2,113.04,
126.3,113.26,
127.4,113.48,
128.5,113.7,
129.6,113.92,
130.7,114.14,
131.8,114.36,
132.9,114.58,
134,114.8,
135.1,115.02,
136.2,115.24,
137.3,115.46000000000001,
138.4,115.68,
139.5,115.9,
140.6,116.12,
141.7,116.34,
142.8,116.56,
143.9,116.78,
145,117,
146.1,117.22,
147.2,117.44,
148.3,117.66,
149.4,117.88,
150.5,118.1,
151.6,118.32,
152.7,118.53999999999999,
153.8,118.76,
154.9,118.98,
156,119.2,
157.1,119.42,
158.2,119.64,
159.3,119.86,
160.4,120.08,
161.5,120.3,
162.6,120.52,
163.7,120.74,
164.8,120.96000000000001,
165.9,121.18,
167,121.4,
168.1,121.62,
169.2,121.84,
170.3,122.06,
171.4,122.28,
172.5,122.5,
173.6,122.72,
174.7,122.94,
175.8,123.16,
176.9,123.38,
178,123.6,
179.1,123.82,
180.2,124.03999999999999,
181.3,124.26,
182.4,124.48,
183.5,124.7,
184.6,124.92,
185.7,125.14,
186.8,125.36,
187.9,125.58,
189,125.8,
190.1,126.02,
191.2,126.24,
192.3,126.46000000000001,
193.4,126.68,
194.5,126.9,
195.6,127.12,
196.7,127.34,
197.8,127.56,
