x,f,
0,0,
1,2,
2,4,
3,6,
4,8,
5,10,
6,12,
7,14,
8,16,
9,18,
10,20,
11,22,
12,24,
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,80.2,
42,80.4,
43,80.6,
44,80.8,
45,81,
46,81.2,
47,81.4,
48,81.6,
49,81.8,
50,82,
51,82.2,
52,82.4,
53,82.6,
54,82.8,
55,83,
56,83.2,
57,83.4,
58,83.6,
59,83.8,
60,84,
61,84.2,
62,84.4,
63,84.6,
64,84.8,
65,85,
66,85.2,
67,85.4,
68,85.6,
69,85.8,
70,86,
71,86.2,
72,86.4,
73,86.6,
74,86.8,
75,87,
76,87.2,
77,87.4,
78,87.6,
79,87.8,
80,88,
81,88.2,
82,88.4,
83,88.6,
84,88.8,
85,89,
86,89.2,
87,89.4,
88,89.6,
89,89.8,
90,90,
91,90.2,
92,90.4,
93,90.6,
94,90.8,
95,91,
96,91.2,
97,91.4,
98,91.6,
99,91.8,
100,92,
100,92,
98,88,
96,84,
94,80,
92,76,
90,72,
88,68,
86,64,
84,60,
82,56,
80,52,
78,48,
76,44,
74,40,
72,36,
70,32,
68,28,
66,24,
64,20,
62,16,
60,12,
58,8,
56,4,
54,0,
52,-1.702127659574468,
50,-3.404255319148936,
48,-5.1063829787234045,
46,-6.808510638297872,
44,-8.51063829787234,
42,-10.212765957446809,
40,-11.914893617021278,
38,-13.617021276595747,
36,-15.319148936170215,
34,-17.021276595744684,
32,-18.723404255319153,
30,-20.42553191489362,
28,-22.12765957446809,
26,-23.82978723404256,
24,-25.531914893617028,
22,-27.234042553191497,
20,-28.936170212765965,
18,-30.638297872340434,
16,-32.3404255319149,
14,-34.04255319148937,
12,-35.74468085106383,
10,-37.4468085106383,
8,-39.148936170212764,
6,-40.85106382978723,
4,-42.553191489361694,
2,-44.25531914893616,
0,-45.957446808510625,
-2,-47.6595744680851,
-4,-49.36170212765956,
-6,-51.06382978723403,
-8,-52.7659574468085,
-10,-54.46808510638297,
-12,-56.17021276595744,
-14,-57.8723404255319,
-16,-59.574468085106375,
-18,-61.27659574468085,
-20,-62.97872340425531,
-22,-64.68085106382978,
-24,-66.38297872340425,
-26,-68.08510638297872,
-28,-69.7872340425532,
-30,-71.48936170212767,
-32,-73.19148936170214,
-34,-74.89361702127661,
-36,-76.59574468085107,
-38,-78.29787234042553,
-40,-80,
-42,-80.4,
-44,-80.80000000000001,
-46,-81.20000000000002,
-48,-81.60000000000002,
-50,-82.00000000000003,
-52,-82.40000000000003,
-54,-82.80000000000004,
-56,-83.20000000000005,
-58,-83.60000000000005,
-60,-84.00000000000006,
-62,-84.40000000000006,
-64,-84.80000000000007,
-66,-85.20000000000007,
-68,-85.60000000000008,
-70,-86.00000000000009,
-72,-86.40000000000009,
-74,-86.8000000000001,
-76,-87.2000000000001,
-78,-87.60000000000011,
-80,-88.00000000000011,
-82,-88.40000000000012,
-84,-88.80000000000013,
-86,-89.20000000000013,
-88,-89.60000000000014,
-90,-90.00000000000014,
-92,-90.40000000000015,
-94,-90.80000000000015,
-96,-91.20000000000016,
-98,-91.60000000000016,
-100,-92.00000000000017,
-100,-92.00000000000017,
-97.5,-87.00000000000017,
-95,-82.00000000000017,
-92.5,-77.00000000000017,
-90,-72.00000000000017,
-87.5,-67.00000000000017,
-85,-62.00000000000017,
-82.5,-57.00000000000017,
-80,-52.00000000000017,
-77.5,-47.00000000000017,
-75,-42.00000000000017,
-72.5,-37.00000000000017,
-70,-32.00000000000017,
-67.5,-27.00000000000017,
-65,-22.00000000000017,
-62.5,-17.00000000000017,
-60,-12.00000000000017,
-57.5,-7.0000000000001705,
-55,-2.0000000000001705,
-52.5,0.8961038961038457,
-50,2.38961038961034,
-47.5,3.883116883116834,
-45,5.3766233766233285,
-42.5,6.870129870129823,
-40,8.363636363636317,
-37.5,9.857142857142811,
-35,11.350649350649306,
-32.5,12.8441558441558,
-30,14.337662337662294,
-27.5,15.831168831168789,
-25,17.324675324675283,
-22.5,18.818181818181777,
-20,20.311688311688272,
-17.5,21.805194805194766,
-15,23.29870129870126,
-12.5,24.792207792207755,
-10,26.28571428571425,
-7.5,27.779220779220744,
-5,29.272727272727238,
-2.5,30.766233766233732,
0,32.25974025974023,
2.5,33.75324675324672,
5,35.246753246753215,
7.5,36.74025974025971,
10,38.233766233766204,
12.5,39.7272727272727,
15,41.22077922077919,
17.5,42.71428571428569,
20,44.20779220779218,
22.5,45.701298701298676,
25,47.19480519480517,
27.5,48.688311688311664,
30,50.18181818181816,
32.5,51.67532467532465,
35,53.16883116883115,
37.5,54.66233766233764,
40,56.155844155844136,
42.5,57.64935064935063,
45,59.142857142857125,
47.5,60.63636363636362,
50,62.12987012987011,
52.5,63.62337662337661,
55,65.1168831168831,
57.5,66.6103896103896,
60,68.10389610389609,
62.5,69.59740259740258,
65,71.09090909090908,
67.5,72.58441558441558,
70,74.07792207792207,
72.5,75.57142857142856,
75,77.06493506493506,
77.5,78.55844155844156,
80,80.05194805194805,
82.5,81.54545454545453,
85,83.03896103896103,
87.5,84.53246753246754,
90,86.02597402597402,
92.5,87.51948051948051,
95,89.01298701298701,
97.5,90.50649350649351,
100,92,
102.5,92.5,
105,93,
107.5,93.5,
110,94,
112.5,94.5,
115,95,
117.5,95.5,
120,96,
122.5,96.5,
125,97,
127.5,97.5,
130,98,
132.5,98.5,
135,99,
137.5,99.5,
140,100,
142.5,100.5,
145,101,
147.5,101.5,
150,102,
150,102,
147.5,97,
145,92,
142.5,87,
140,82,
137.5,77,
135,72,
132.5,67,
130,62,
127.5,57,
125,52,
122.5,47,
120,42,
117.5,37,
115,32,
112.5,27,
110,22,
107.5,17,
105,12,
102.5,7,
100,2,
97.5,-0.6934673366834183,
95,-1.8492462311557822,
92.5,-3.005025125628146,
90,-4.16080402010051,
87.5,-5.316582914572875,
85,-6.472361809045239,
82.5,-7.628140703517603,
80,-8.783919597989968,
77.5,-9.939698492462332,
75,-11.095477386934697,
72.5,-12.251256281407061,
70,-13.407035175879425,
67.5,-14.56281407035179,
65,-15.718592964824154,
62.5,-16.874371859296517,
60,-18.03015075376888,
57.5,-19.185929648241242,
55,-20.341708542713604,
52.5,-21.497487437185967,
50,-22.65326633165833,
47.5,-23.809045226130692,
45,-24.964824120603055,
42.5,-26.120603015075417,
40,-27.27638190954778,
37.5,-28.432160804020143,
35,-29.587939698492505,
32.5,-30.743718592964868,
30,-31.89949748743723,
27.5,-33.05527638190959,
25,-34.211055276381956,
22.5,-35.36683417085432,
20,-36.52261306532668,
17.5,-37.67839195979904,
15,-38.834170854271406,
12.5,-39.98994974874377,
10,-41.14572864321613,
7.5,-42.301507537688494,
5,-43.457286432160856,
2.5,-44.61306532663322,
0,-45.76884422110558,
-2.5,-46.924623115577944,
-5,-48.08040201005031,
-7.5,-49.23618090452267,
-10,-50.39195979899503,
-12.5,-51.547738693467394,
-15,-52.70351758793976,
-17.5,-53.85929648241212,
-20,-55.01507537688448,
-22.5,-56.170854271356845,
-25,-57.32663316582921,
-27.5,-58.48241206030157,
-30,-59.63819095477393,
-32.5,-60.793969849246295,
-35,-61.94974874371866,
-37.5,-63.10552763819102,
-40,-64.26130653266338,
-42.5,-65.41708542713575,
-45,-66.57286432160811,
-47.5,-67.72864321608047,
-50,-68.88442211055283,
-52.5,-70.0402010050252,
-55,-71.19597989949756,
-57.5,-72.35175879396992,
-60,-73.50753768844228,
-62.5,-74.66331658291465,
-65,-75.81909547738701,
-67.5,-76.97487437185937,
-70,-78.13065326633173,
-72.5,-79.28643216080411,
-75,-80.44221105527647,
-77.5,-81.59798994974884,
-80,-82.75376884422121,
-82.5,-83.90954773869359,
-85,-85.06532663316595,
-87.5,-86.22110552763831,
-90,-87.37688442211069,
-92.5,-88.53266331658307,
-95,-89.68844221105543,
-97.5,-90.8442211055278,
-100,-92.00000000000017,
-100,-92.00000000000017,
-98,-88.00000000000017,
-96,-84.00000000000017,
-94,-80.00000000000017,
-92,-76.00000000000017,
-90,-72.00000000000017,
-88,-68.00000000000017,
-86,-64.00000000000017,
-84,-60.00000000000017,
-82,-56.00000000000017,
-80,-52.00000000000017,
-78,-48.00000000000017,
-76,-44.00000000000017,
-74,-40.00000000000017,
-72,-36.00000000000017,
-70,-32.00000000000017,
-68,-28.00000000000017,
-66,-24.00000000000017,
-64,-20.00000000000017,
-62,-16.00000000000017,
-60,-12.00000000000017,
-58,-8.00000000000017,
-56,-4.0000000000001705,
-54,-1.7053025658242404E-13,
-52,0.9999999999999578,
-50,1.9999999999999583,
-48,2.9999999999999587,
-46,3.999999999999959,
-44,4.999999999999959,
-42,5.999999999999959,
-40,6.999999999999959,
-38,7.999999999999959,
-36,8.99999999999996,
-34,9.99999999999996,
-32,10.99999999999996,
-30,11.99999999999996,
-28,12.99999999999996,
-26,13.99999999999996,
-24,14.99999999999996,
-22,15.99999999999996,
-20,16.99999999999996,
-18,17.99999999999996,
-16,18.99999999999996,
-14,19.99999999999996,
-12,20.99999999999996,
-10,21.99999999999996,
-8,22.99999999999996,
-6,23.99999999999996,
-4,24.99999999999996,
-2,25.99999999999996,
0,26.99999999999996,
2,27.99999999999996,
4,28.99999999999996,
6,29.99999999999996,
8,30.99999999999996,
10,31.99999999999996,
12,32.999999999999964,
14,33.999999999999964,
16,34.999999999999964,
18,35.999999999999964,
20,36.999999999999964,
22,37.999999999999964,
24,38.999999999999964,
26,39.999999999999964,
28,40.999999999999964,
30,41.999999999999964,
32,42.999999999999964,
34,43.999999999999964,
36,44.999999999999964,
38,45.999999999999964,
40,46.999999999999964,
42,47.999999999999964,
44,48.999999999999964,
46,49.999999999999964,
48,50.999999999999964,
50,51.999999999999964,
52,52.999999999999964,
54,53.999999999999964,
56,54.999999999999964,
58,55.999999999999964,
60,56.999999999999964,
62,57.999999999999964,
64,58.999999999999964,
66,59.999999999999964,
68,60.999999999999964,
70,61.999999999999964,
72,62.999999999999964,
74,63.999999999999964,
76,64.99999999999997,
78,65.99999999999997,
80,66.99999999999997,
82,67.99999999999997,
84,68.99999999999997,
86,69.99999999999997,
