x,f,
0,0,
1,2,
2,4,
3,6,
4,8,
5,10,
6,12,
7,14,
8,16,
9,18,
10,20,
11,22,
12,24,
13,26,
14,28,
15,30,
16,32,
17,34,
18,36,
19,38,
20,40,
21,42,
22,44,
23,46,
24,48,
25,50,
26,52,
27,54,
28,56,
29,58,
30,60,
31,62,
32,64,
33,66,
34,68,
35,70,
36,72,
37,74,
38,76,
39,78,
40,80,
41,81,
42,82,
43,83,
44,84,
45,85,
46,86,
47,87,
48,88,
49,89,
50,90,
51,90.5,
52,91,
53,91.5,
54,92,
55,92.5,
56,93,
57,93.5,
58,94,
59,94.5,
60,95,
61,95.5,
62,96,
63,96.5,
64,97,
65,97.5,
66,98,
67,98.5,
68,99,
69,99.5,
70,100,
71,100.5,
72,101,
73,101.5,
74,102,
75,102.5,
76,103,
77,103.5,
78,104,
79,104.5,
80,105,
81,105.5,
82,106,
83,106.5,
84,107,
85,107.5,
86,108,
87,108.5,
88,109,
89,109.5,
90,110,
91,110.2,
92,110.4,
93,110.6,
94,110.8,
95,111,
96,111.2,
97,111.4,
98,111.6,
99,111.8,
100,112,
100,112,
98,111.6,
96,111.2,
94,110.8,
92,110.4,
90,110,
88,109,
86,108,
84,107,
82,106,
80,105,
78,104,
76,103,
74,102,
72,101,
70,100,
68,99,
66,98,
64,97,
62,96,
60,95,
58,94,
56,93,
54,92,
52,91,
50,90,
48,88,
46,86,
44,84,
42,82,
40,80,
38,76,
36,72,
34,68,
32,64,
30,60,
28,56,
26,52,
24,48,
22,44,
20,40,
18,36,
16,32,
14,28,
12,24,
10,20,
8,16,
6,12,
4,8,
2,4,
0,0,
-2,-4,
-4,-8,
-6,-12,
-8,-16,
-10,-20,
-12,-24,
-14,-28,
-16,-32,
-18,-36,
-20,-40,
-22,-44,
-24,-48,
-26,-52,
-28,-56,
-30,-60,
-32,-64,
-34,-68,
-36,-72,
-38,-76,
-40,-80,
-42,-84,
-44,-88,
-46,-92,
-48,-96,
-50,-100,
-52,-104,
-54,-108,
-56,-112,
-58,-116,
-60,-120,
-62,-124,
-64,-128,
-66,-132,
-68,-136,
-70,-140,
-72,-142.4,
-74,-142.8,
-76,-143.2,
-78,-143.6,
-80,-144,
-82,-144.4,
-84,-144.8,
-86,-145.2,
-88,-145.6,
-90,-146,
-92,-146.4,
-94,-146.8,
-96,-147.2,
-98,-147.6,
-100,-148,
-100,-148,
-97.5,-147.5,
-95,-147,
-92.5,-146.5,
-90,-146,
-87.5,-145.5,
-85,-145,
-82.5,-144.5,
-80,-144,
-77.5,-143.5,
-75,-143,
-72.5,-142.5,
-70,-140,
-67.5,-135,
-65,-130,
-62.5,-125,
-60,-120,
-57.5,-115,
-55,-110,
-52.5,-105,
-50,-100,
-47.5,-95,
-45,-90,
-42.5,-85,
-40,-80,
-37.5,-75,
-35,-70,
-32.5,-65,
-30,-60,
-27.5,-55,
-25,-50,
-22.5,-45,
-20,-40,
-17.5,-35,
-15,-30,
-12.5,-25,
-10,-20,
-7.5,-15,
-5,-10,
-2.5,-5,
0,0,
2.5,5,
5,10,
7.5,15,
10,20,
12.5,25,
15,30,
17.5,35,
20,40,
22.5,45,
25,50,
27.5,55,
30,60,
32.5,65,
35,70,
37.5,75,
40,80,
42.5,82.5,
45,85,
47.5,87.5,
50,90,
52.5,91.25,
55,92.5,
57.5,93.75,
60,95,
62.5,96.25,
65,97.5,
67.5,98.75,
70,100,
72.5,101.25,
75,102.5,
77.5,103.75,
80,105,
82.5,106.25,
85,107.5,
87.5,108.75,
90,110,
92.5,110.5,
95,111,
97.5,111.5,
100,112,
102.5,112.5,
105,113,
107.5,113.5,
110,114,
112.5,114.5,
115,115,
117.5,115.5,
120,116,
122.5,116.5,
125,117,
127.5,117.5,
130,118,
132.5,118.5,
135,119,
137.5,119.5,
140,120,
142.5,120.5,
145,121,
147.5,121.5,
150,122,
150,122,
147.5,121.5,
145,121,
142.5,120.5,
140,120,
137.5,119.5,
135,119,
132.5,118.5,
130,118,
127.5,117.5,
125,117,
122.5,116.5,
120,116,
117.5,115.5,
115,115,
112.5,114.5,
110,114,
107.5,113.5,
105,113,
102.5,112.5,
100,112,
97.5,111.5,
95,111,
92.5,110.5,
90,110,
87.5,108.75,
85,107.5,
82.5,106.25,
80,105,
77.5,103.75,
75,102.5,
72.5,101.25,
70,100,
67.5,98.75,
65,97.5,
62.5,96.25,
60,95,
57.5,93.75,
55,92.5,
52.5,91.25,
50,90,
47.5,87.5,
45,85,
42.5,82.5,
40,80,
37.5,75,
35,70,
32.5,65,
30,60,
27.5,55,
25,50,
22.5,45,
20,40,
17.5,35,
15,30,
12.5,25,
10,20,
7.5,15,
5,10,
2.5,5,
0,0,
-2.5,-5,
-5,-10,
-7.5,-15,
-10,-20,
-12.5,-25,
-15,-30,
-17.5,-35,
-20,-40,
-22.5,-45,
-25,-50,
-27.5,-55,
-30,-60,
-32.5,-65,
-35,-70,
-37.5,-75,
-40,-80,
-42.5,-85,
-45,-90,
-47.5,-95,
-50,-100,
-52.5,-105,
-55,-110,
-57.5,-115,
-60,-120,
-62.5,-125,
-65,-130,
-67.5,-135,
-70,-140,
-72.5,-142.5,
-75,-143,
-77.5,-143.5,
-80,-144,
-82.5,-144.5,
-85,-145,
-87.5,-145.5,
-90,-146,
-92.5,-146.5,
-95,-147,
-97.5,-147.5,
-100,-148,
-100,-148,
-98,-147.6,
-96,-147.2,
-94,-146.8,
-92,-146.4,
-90,-146,
-88,-145.6,
-86,-145.2,
-84,-144.8,
-82,-144.4,
-80,-144,
-78,-143.6,
-76,-143.2,
-74,-142.8,
-72,-142.4,
-70,-140,
-68,-136,
-66,-132,
-64,-128,
-62,-124,
-60,-120,
-58,-116,
-56,-112,
-54,-108,
-52,-104,
-50,-100,
-48,-96,
-46,-92,
-44,-88,
-42,-84,
-40,-80,
-38,-76,
-36,-72,
-34,-68,
-32,-64,
-30,-60,
-28,-56,
-26,-52,
-24,-48,
-22,-44,
-20,-40,
-18,-36,
-16,-32,
-14,-28,
-12,-24,
-10,-20,
-8,-16,
-6,-12,
-4,-8,
-2,-4,
0,0,
2,4,
4,8,
6,12,
8,16,
10,20,
12,24,
14,28,
16,32,
18,36,
20,40,
22,44,
24,48,
26,52,
28,56,
30,60,
32,64,
34,68,
36,72,
38,76,
40,80,
42,82,
44,84,
46,86,
48,88,
50,90,
52,91,
54,92,
56,93,
58,94,
60,95,
62,96,
64,97,
66,98,
68,99,
70,100,
72,101,
74,102,
76,103,
78,104,
80,105,
82,106,
84,107,
86,108,
88,109,
90,110,
92,110.4,
94,110.8,
96,111.2,
98,111.6,
100,112,
100,112,
99.9,111.98,
99.8,111.96,
99.7,111.94,
99.6,111.92,
99.5,111.9,
99.4,111.88,
99.3,111.86,
99.2,111.84,
99.1,111.82,
99,111.8,
98.9,111.78,
98.8,111.76,
98.7,111.74,
98.6,111.72,
98.5,111.7,
98.4,111.68,
98.3,111.66,
98.2,111.64,
98.1,111.62,
98,111.6,
97.9,111.58,
97.8,111.56,
97.7,111.54,
97.6,111.52,
97.5,111.5,
97.4,111.48,
97.3,111.46,
97.2,111.44,
97.1,111.42,
97,111.4,
96.9,111.38,
96.8,111.36,
96.7,111.34,
96.6,111.32,
96.5,111.3,
96.4,111.28,
96.3,111.26,
96.2,111.24,
96.1,111.22,
96,111.2,
95.9,111.18,
95.8,111.16,
95.7,111.14,
95.6,111.12,
95.5,111.1,
95.4,111.08,
95.3,111.06,
95.2,111.04,
95.1,111.02,
95,111,
94.9,110.98,
94.8,110.96,
94.7,110.94,
94.6,110.92,
94.5,110.9,
94.4,110.88,
94.3,110.86,
94.2,110.84,
94.1,110.82,
94,110.8,
93.9,110.78,
93.8,110.76,
93.7,110.74,
93.6,110.72,
93.5,110.7,
93.4,110.68,
93.3,110.66,
93.2,110.64,
93.1,110.62,
93,110.6,
92.9,110.58,
92.8,110.56,
92.7,110.54,
92.6,110.52,
92.5,110.5,
92.4,110.48,
92.3,110.46,
92.2,110.44,
92.1,110.42,
92,110.4,
91.9,110.38,
91.8,110.36,
91.7,110.34,
91.6,110.32,
91.5,110.3,
91.4,110.28,
91.3,110.26,
91.2,110.24,
91.1,110.22,
91,110.2,
90.9,110.18,
90.8,110.16,
90.7,110.14,
90.6,110.12,
90.5,110.1,
90.4,110.08,
90.3,110.06,
90.2,110.04,
90.1,110.02,
90,110,
90,110,
91.1,110.22,
92.2,110.44,
93.3,110.66,
94.4,110.88,
95.5,111.1,
96.6,111.32,
97.7,111.54,
98.8,111.76,
99.9,111.98,
101,112.2,
102.1,112.42,
103.2,112.64,
104.3,112.86,
105.4,113.08,
106.5,113.3,
107.6,113.52,
108.7,113.74,
109.8,113.96,
110.9,114.18,
112,114.4,
113.1,114.62,
114.2,114.84,
115.3,115.06,
116.4,115.28,
117.5,115.5,
118.6,115.72,
119.7,115.94,
120.8,116.16,
121.9,116.38,
123,116.6,
124.1,116.82,
125.2,117.04,
126.3,117.26,
127.4,117.48,
128.5,117.7,
129.6,117.92,
130.7,118.14,
131.8,118.36,
132.9,118.58,
134,118.8,
135.1,119.02,
136.2,119.24,
137.3,119.46000000000001,
138.4,119.68,
139.5,119.9,
140.6,120.12,
141.7,120.34,
142.8,120.56,
143.9,120.78,
145,121,
146.1,121.22,
147.2,121.44,
148.3,121.66,
149.4,121.88,
150.5,122.1,
151.6,122.32,
152.7,122.53999999999999,
153.8,122.76,
154.9,122.98,
156,123.2,
157.1,123.42,
158.2,123.64,
159.3,123.86,
160.4,124.08,
161.5,124.3,
162.6,124.52,
163.7,124.74,
164.8,124.96000000000001,
165.9,125.18,
167,125.4,
168.1,125.62,
169.2,125.84,
170.3,126.06,
171.4,126.28,
172.5,126.5,
173.6,126.72,
174.7,126.94,
175.8,127.16,
176.9,127.38,
178,127.6,
179.1,127.82,
180.2,128.04,
181.3,128.26,
182.4,128.48,
183.5,128.7,
184.6,128.92,
185.7,129.14,
186.8,129.36,
187.9,129.58,
189,129.8,
190.1,130.02,
191.2,130.24,
192.3,130.46,
193.4,130.68,
194.5,130.9,
195.6,131.12,
196.7,131.34,
197.8,131.56,
198.9,131.78,
200,132,
